Srno,Department,Budget Head,Allocation
397,202701 Public Works,4103094 Ravindra Natya development / expenditure for other functions,10000
398,202701 Public Works,4103096 City Road - Metal,10000000
399,202701 Public Works,4103097 City Road - Cement concrete,150000000
400,202701 Public Works,4103098 Acquisition of Land and Building Due to Road Widening,5000000
401,202701 Public Works,4103099 City Road - Butuman,150000000
402,202701 Public Works,4103102 Const. of Water Storm Drain of Zonal Roads Except Bond Road,60000000
403,202701 Public Works,4104042 Purchase of Equip.for atikraman Removal of Encroachment,2000000
404,202701 Public Works,4106002 Purchase of Computers/Peripherals,500000
405,202701 Public Works,4106011 Purchase of Office Equipment,500000
406,202701 Public Works,4108001 Nandanagar Infrastructure Dev.,100000
407,202701 Public Works,4108002 Beautification and other Civic works on pitra parwat and Bijasan Tekari,2500000
408,202701 Public Works,4108003 Exp on Development of Harsidhi/Chhatribagh/Gangaurghat,2500000
409,202701 Public Works,4108007 Development of Atal Sports Complex,20000000
410,202701 Public Works,4108013 Development on nahar bhandara Lake,10000000
411,202701 Public Works,4108052 Exp. on Development of ST/SC Area,150000000
412,202701 Public Works,4108072 Building Permission automation,1000000
413,202701 Public Works,4108087 Project Monitoring/ Consulting/ Skupervision Charges,3000000
414,202701 Public Works,4122090 Exp. form State Education Center,20000000
415,202701 Public Works,4122091 Expenses from MLA Fund,2500000
416,202701 Public Works,4122099 Expenses From Member of Parliament Fund,2500000
417,202701 Public Works,4123005 Construction of Administrative Building of Municipal Corporation ( I Phase),5000000
418,202701 Public Works,4123006 Construction of Hawkers Zone,10000000
419,202701 Public Works,4123007 Construction of yaswant Sagar Cow Shed,10000000
420,202701 Public Works,4123008 Residential Building of Employee,100000
421,202701 Public Works,4123009 Construction of Night Shelter,50000000
422,202701 Public Works,4123010 Construction of Community Hall in Colonies,2500000
423,202701 Public Works,4123016 Construction of Community Hall ( Safai karmchari / Slum Areas),15000000
424,202701 Public Works,4123017 Construction of New Vegetable Market,5000000
425,303101 Public Health Department,2101001 Salaries & Allowances,350000000
426,303101 Public Health Department,2101021 Wages (Muster Workers),170000000
427,303101 Public Health Department,2101022 Seasonal and Urgent Works,60000000
428,303101 Public Health Department,2201221 Postage/Courier expenses,1000
429,303101 Public Health Department,2202101 Printing expenses,200000
430,303101 Public Health Department,2203005 Travelling and Conveyance - Staff,100000
431,303101 Public Health Department,2204002 Exp. for Vehicle Insurance,2500000
432,303101 Public Health Department,2206041 Workshop and Seminars,1000000
433,303101 Public Health Department,2208051 Miscellaneous expenses,200000
434,303101 Public Health Department,2208507 Survey for Health Work,500000
435,303101 Public Health Department,2208530 Expenses for Clearing Grass/Weeds,750000
436,303101 Public Health Department,2208536 Prevention of Deseases,1000000
437,303101 Public Health Department,2208542 Temporary Employee E P.F. and Insurance Exp,30000000
438,303101 Public Health Department,2208543 Expenses on Health Camps,800000
439,303101 Public Health Department,2208548 Health Campus at Backward Areas,750000
440,303101 Public Health Department,2208549 Exp. on Education of Safai Kamgar Children,5000000
441,303101 Public Health Department,2208551 Milk at Jhoola Ghar for Children of Safai kamgar,200000
442,303101 Public Health Department,2208554 Exp. On Animal Care Centre,5000000
443,303101 Public Health Department,2303050 Exp. On Kachra Peti,500000
444,303101 Public Health Department,2303053 Swanon binding and vaccination of stray and other expenses,100000
445,303101 Public Health Department,2501003 Dr. Shyama Prasad Mukherjee Accidental Insurance Scheme (For Citizens of Indore),3000000
446,303101 Public Health Department,2501004 Pt. Dindayal Senior Citizen Insurance Scheme (For Citizens of Indore),8000000
447,303101 Public Health Department,2501005 Participation in National Health Program,100000
448,303101 Public Health Department,2501009 Expenses on Working of Shri Kushabhau Thackrey Health Centre,1000000
449,303101 Public Health Department,4102035 Construction of Attendance Centres at Wards,10000000
450,303101 Public Health Department,4105009 Dog Catching Vehicle,2000000
451,303101 Public Health Department,4105017 Purchase of Vehicle,20000000
452,303101 Public Health Department,4106002 Purchase of Computers/Peripherals,500000
453,303102 Public Health Department,2208553 Removal of Pigs,100000
454,303102 Public Health Department,2303097 Insecticides for Mosquitos,10000000
455,404101 Solid Waste Management,4101002 Land Development Cost(Treching ground),200000
456,404101 Solid Waste Management,4101006 Landfill Site (Trenching Ground),10000000
457,404101 Solid Waste Management,4101092 Const. of Temp. Trenching Ground(Waste Transfer Station),1000
458,404101 Solid Waste Management,4102008 Construction of Pig-Houses,1500000
459,404101 Solid Waste Management,4104003 Cleaning Equipments,40000000
460,404101 Solid Waste Management,4108021 Purchase of Dumpsters,10000000
461,404102 Landfill Sites Management,2208521 Expenses for Weighing of Garbage,1500000
462,404102 Landfill Sites Management,2208541 Expenses for Removing of Dead Bodies,100000
463,404102 Landfill Sites Management,2208550 Exp. on Sanitary Traning to Safai kamgar,200000
464,404102 Landfill Sites Management,2208552 Mobile Van Magistrate Exp.,600000
465,404102 Landfill Sites Management,2303051 Cleaning Material,10000000
466,404102 Landfill Sites Management,2304008 Kachra Transportation Exp.,60000000
467,404102 Landfill Sites Management,2305051 Garbage Collection Points,3000000
468,404102 Landfill Sites Management,2305053 Wheel Barrows (Hath Gadi),750000
469,404102 Landfill Sites Management,4105004 Trucks (Lorries and Dumpers),10000000
470,404102 Landfill Sites Management,4105010 Wheel Barrows,10000000
471,404103 Street Watering & Cleaning,2201004 Rent - Slaughter House,100000
472,404103 Street Watering & Cleaning,2303095 Water Purification Bleaching Powder,2000000
473,404103 Street Watering & Cleaning,2503004 Expenditure on residents Sandho award for cleaning up,5000000
474,505102 Narmada Division 1,2201221 Postage/Courier expenses,15000
475,505102 Narmada Division 1,2202101 Printing expenses,400000
476,505102 Narmada Division 1,2206102 Fee For Renewal of Narmada Sch. Pumping Station,300000
477,505102 Narmada Division 1,2301001 Electricity Exp Narmada Connection/Water Works,1185000000
478,505102 Narmada Division 1,2305001 Land Boundaries & Fences,2500000
479,505102 Narmada Division 1,2305033 Maint of Transformer,2000000
480,505102 Narmada Division 1,2305046 Maint of B.P.Tank,200000
481,505102 Narmada Division 1,2305047 Maint. of Roads,20000000
482,505102 Narmada Division 1,2305048 Maint. of Intactwell,100000
483,505102 Narmada Division 1,2305076 Maint. Of Building,1200000
484,505102 Narmada Division 1,2305089 Purchase of Valve,500000
485,505102 Narmada Division 1,2305112 Maint. Of Plant and Machinery Intakewell,8000000
486,505102 Narmada Division 1,2305116 Maint. of Plant & Machinery of Pumphouse No. 5,22000000
487,505102 Narmada Division 1,2305117 Maint of Electrical Equipment,1500000
488,505102 Narmada Division 1,2305118 Maint of Spare Parts,2000000
489,505102 Narmada Division 1,2305119 Maint of Pipeline of Pumphouse No.1,1000000
490,505102 Narmada Division 1,2305120 Maint. of Intakewell Bridge and Pumphouse,50000
491,505102 Narmada Division 1,2305122 Maint. of Retaining Wall,5000000
492,505102 Narmada Division 1,2305123 Maint. of Clear Water Pump,10000000
493,505102 Narmada Division 1,2305124 Maint of Panels and Cables,2000000
494,505102 Narmada Division 1,2305125 Maint. of Pipeline B.P. Tank,1500000
495,505102 Narmada Division 1,2305126 Spares for Raw Water Pump,10000000
496,505102 Narmada Division 1,2305127 Spares For Clear Water Pump,10000000
497,505102 Narmada Division 1,2305128 Tools for T & P Machinery,300000
498,505102 Narmada Division 1,2305129 Purchase of Battries,500000
499,505102 Narmada Division 1,2305135 Purchase of Capacitor,2000000
500,505102 Narmada Division 1,2305136 Vehicle Rent,75000
501,505102 Narmada Division 1,2305137 Tender Publishing Exp,500000
502,505102 Narmada Division 1,2305140 Maint of Water Purification Plant,5000000
503,505102 Narmada Division 1,2305209 Employees' Quarters,3000000
504,505102 Narmada Division 1,2305215 Maint.Of Building,2000000
505,505102 Narmada Division 1,2305301 Maint of Vehicles (Motor Car),3000000
506,505102 Narmada Division 1,2305512 Laboratory Equipment,400000
507,505102 Narmada Division 1,2305905 Fire Fighting Equipments,300000
508,505102 Narmada Division 1,2305907 Maint Of Telephone and Wireless,400000
509,505102 Narmada Division 1,2305908 Spare Parts and Consumables,3000000
510,505102 Narmada Division 1,2308013 Chemicals and other Goods,8000000
511,505102 Narmada Division 1,4102006 Constrn. of Staff Quarters,500000
512,505102 Narmada Division 1,4105001 Purchase of Vehicles/Motor Car,1500000
513,505102 Narmada Division 1,4106002 Purchase of Computers/Peripherals,250000
514,505102 Narmada Division 1,4106008 Purchase of Fire Fighting Equipments,100000
515,505102 Narmada Division 1,4106014 Purchase of Transformer,3500000
516,505102 Narmada Division 1,4106015 Purchase of Electrical Motors,200000
517,505102 Narmada Division 1,4106016 Purchase of Onload Tape Changer,1000
518,505102 Narmada Division 1,4106017 Purchase of Voltage Protection System,200000
519,505102 Narmada Division 1,4106019 Relay Tarriff Meter,1000
520,505103 Narmada Division 2,2101024 Payment to temporary labour on high level tanks,35000000
521,505103 Narmada Division 2,2201101 Electricity Charges - Office,6000000
522,505103 Narmada Division 2,2201106 Office Expenditure of Circle Office,500000
523,505103 Narmada Division 2,2201201 Telephone expenses,1300000
524,505103 Narmada Division 2,2201221 Postage/Courier expenses,20000
525,505103 Narmada Division 2,2202101 Printing expenses,300000
526,505103 Narmada Division 2,2202102 Stationery,300000
527,505103 Narmada Division 2,2203005 Travelling and Conveyance - Staff,100000
528,505103 Narmada Division 2,2205222 Plan of water supply lines Suddhdikrn DPR Expenditure on R to,1000000
529,505103 Narmada Division 2,2206002 Tenders Advertisement Expenses,1000000
530,505103 Narmada Division 2,2206041 Workshop and Seminars,50000
531,505103 Narmada Division 2,2208051 Miscellaneous expenses,1500000
532,505103 Narmada Division 2,2208511 Expenses on General Survey,200000
533,505103 Narmada Division 2,2208522 Expenses on Water Meters,2000000
534,505103 Narmada Division 2,2302007 Purchase of Valves and Maintenanes,5000000
535,505103 Narmada Division 2,2302008 Special repairing work at water tank,6000000
536,505103 Narmada Division 2,2303008 Stores & Spares for Water Distribution,2000000
537,505103 Narmada Division 2,2304001 Hire Charges of Light Vehicles,500000
538,505103 Narmada Division 2,2305009 Culverts/Small Bridges,500000
539,505103 Narmada Division 2,2305016 Maint. of City Distribution Pipeline,12500000
540,505103 Narmada Division 2,2305017 Maint. of Main Trunk Pipeline,10000000
541,505103 Narmada Division 2,2305018 Maint. of Main Trunk,10000000
542,505103 Narmada Division 2,2305019 Purchase Of Electrical Equipments,500000
543,505103 Narmada Division 2,2305020 Change of Old Pipeline,20000000
544,505103 Narmada Division 2,2305024 Water Reservoirs (Overhead Tanks),5000000
545,505103 Narmada Division 2,2305033 Maint of Transformer,1000000
546,505103 Narmada Division 2,2305035 Electric Sub-Station,500000
547,505103 Narmada Division 2,2305046 Maint of B.P.Tank,250000
548,505103 Narmada Division 2,2305047 Maint. of Roads,2000000
549,505103 Narmada Division 2,2305048 Maint. of Intactwell,100000
550,505103 Narmada Division 2,2305159 Expenditure on Survey and Drawing of Water Distribution Lines,5000000
551,505103 Narmada Division 2,2305209 Employees' Quarters,1500000
552,505103 Narmada Division 2,2305211 Maint of Office Building,1000000
553,505103 Narmada Division 2,2305212 Maint of Store Building,1000000
554,505103 Narmada Division 2,2305213 Maint of Guest House,2000000
555,505103 Narmada Division 2,2305214 Maint of Rao Sumpwell,500000
556,505103 Narmada Division 2,2305301 Maint of Vehicles (Motor Car),1500000
557,505103 Narmada Division 2,2305401 Maint. of Furniture /Fixtures,500000
558,505103 Narmada Division 2,2305512 Laboratory Equipment,250000
559,505103 Narmada Division 2,2305905 Fire Fighting Equipments,100000
560,505103 Narmada Division 2,2305906 Maint. of Office Equipment,100000
561,505103 Narmada Division 2,2305907 Maint Of Telephone and Wireless,200000
562,505103 Narmada Division 2,2305908 Spare Parts and Consumables,500000
563,505103 Narmada Division 2,2308013 Chemicals and other Goods,1000000
564,505103 Narmada Division 2,2308014 Emergency Repairs,2000000
565,505103 Narmada Division 2,4103204 Water Reservoirs (Overhead),5000000
566,505103 Narmada Division 2,4103205 New Water Pipe Lines,35000000
567,505103 Narmada Division 2,4103223 New Overhead Tank - Bada Ganpati,500000
568,505103 Narmada Division 2,4103224 New Overhead Tank - Nanda nagar/ Pipe line Exp.,1000000
569,505103 Narmada Division 2,4103225 New Overhead Tank - Chandan Nagar,7000000
570,505103 Narmada Division 2,4103226 New Overhead Tank - Khajrana and other Part -2,5000000
571,505103 Narmada Division 2,4103227 New Overhead Tank & Other works - Khatiwala Tank,500000
572,505103 Narmada Division 2,4103228 New Overhead Tank - Other Work Sch. No. 54/74,10000000
573,505103 Narmada Division 2,4103229 New Overhead Tank - Chhatribagh,500000
574,505103 Narmada Division 2,4103231 Renovation of Damage Pipe Line,10000000
575,505103 Narmada Division 2,4103232 Management of Bilawali Filter Plant,2500000
576,505103 Narmada Division 2,4103233 Operation and Maintanance of 12 M.L.D. STP & MPS Allied Works at Kabit Khedi,23000000
577,505103 Narmada Division 2,4103255 Extension of Pipe line for water in Scheme no 74,2000000
578,505103 Narmada Division 2,"4103256 New Overhead Tank - Other Work Sch. No. 78 Nr Rikshaw Stand, Vijay Nagar for 3000 KL",20000000
579,505103 Narmada Division 2,4103289 Laying of pipeline at Rajiv aawas yojana 114,58000000
580,505103 Narmada Division 2,4103290 Construction New water tanki narmada in janta Quarter,20000000
581,505103 Narmada Division 2,4103292 Laying of water pipe line of Railway station,16800000
582,505103 Narmada Division 2,4104015 Supply and Installation of Elctro Magnetic and bulk Meter,200000
583,505103 Narmada Division 2,4104043 Operation and Maint. of 78 Mld STP & MPS & Allied Works at kabir khedi,12000000
584,505103 Narmada Division 2,4106002 Purchase of Computers/Peripherals,1500000
585,505103 Narmada Division 2,4106008 Purchase of Fire Fighting Equipments,100000
586,505103 Narmada Division 2,4106011 Purchase of Office Equipment,100000
587,505103 Narmada Division 2,4107001 Purchase of Furniture,300000
588,505104 Water Supply,2101001 Salaries & Allowances,60000000
589,505104 Water Supply,2101021 Wages (Muster Workers),20000000
590,505104 Water Supply,2201221 Postage/Courier expenses,10000
591,505104 Water Supply,2202101 Printing expenses,200000
592,505104 Water Supply,2203005 Travelling and Conveyance - Staff,200000
593,505104 Water Supply,2206041 Workshop and Seminars,200000
594,505104 Water Supply,2208051 Miscellaneous expenses,600000
595,505104 Water Supply,2302002 Emergency Water Supply,12000000
596,505104 Water Supply,2304006 Hire Charges of Water Tankers,50000000
597,505104 Water Supply,2305021 Water ways (Distribution Pipes),10000000
598,505104 Water Supply,2305023 Rain Water Harvesting (Water Recharging),300000
599,505104 Water Supply,2305024 Water Reservoirs (Overhead Tanks),3000000
600,505104 Water Supply,2305028 Maintenance of Service Road at yashwant sagar Pipe line,1200000
601,505104 Water Supply,2305033 Maint of Transformer,1000000
602,505104 Water Supply,2305042 Maint of Impelor,600000
603,505104 Water Supply,2305044 Grant from State Government for Water Problem Exp.,50000000
604,505104 Water Supply,2305045 Water Ways (Distribution Pipes) Zone Head,20700000
605,505104 Water Supply,2305087 Publicity for Water Recharging,1000000
606,505104 Water Supply,2305089 Purchase of Valve,6900000
607,505104 Water Supply,2305091 Jal Abhishek and other place Water Recharging Exp,10000000
608,505104 Water Supply,2305092 Water Recharging Expenses - Public Places,300000
609,505104 Water Supply,2305093 Maint. of Typewriter / Photocopy Machine,100000
610,505104 Water Supply,2305094 Water Recharging Exp - School Buildings,500000
611,505104 Water Supply,2305096 Water Recharging Exp. Govt. Buildings,300000
612,505104 Water Supply,2305097 Water Recharging Exp - Gardens,1500000
613,505104 Water Supply,2305098 Water Recharging Exp. Corp. Buildings,2000000
614,505104 Water Supply,2305099 Identification of Recharging Acquifier Zone,500000
615,505104 Water Supply,2305102 Lakes & Ponds,2500000
616,505104 Water Supply,2305310 Maint. of Boats at Crossing,200000
617,505104 Water Supply,2305603 Exp. On Electric operation on Dam,1200000
618,505104 Water Supply,"2305904 Maintenance of Pumping at 27"" Gravitation",2000000
619,505104 Water Supply,2305905 Fire Fighting Equipments,300000
620,505104 Water Supply,2308011 Chemicals - Chlorine,2500000
621,505104 Water Supply,2308012 Camicals - Bleaching & Others,300000
622,505104 Water Supply,2308098 Chemical - Alum,2500000
623,505104 Water Supply,2502007 Picnics/Functions for School Children,200000
624,505104 Water Supply,2502024 Exhibition & Social Works,100000
625,505104 Water Supply,2718094 Rent of Railway pipe line(w),50000
626,505104 Water Supply,4101003 Boundary Walls,100000
627,505104 Water Supply,4102033 Construction of Employee quarters At yashwant sagar Dam,5000000
628,505104 Water Supply,4103205 New Water Pipe Lines,10000000
629,505104 Water Supply,4103209 New Pipeline At New Colonies,1000
630,505104 Water Supply,4103210 Exp. On Water Supply Pipe line and Maintenance Work at zone (parshad fund),103500000
631,505104 Water Supply,4103211 Exp on Water supply pipe line and Maintenance work at zone (Mayor Fund),69000000
632,505104 Water Supply,4103212 New Water Pipe line (Slum Area),20000000
633,505104 Water Supply,4103214 Laying of Pipe line (Jan sahayog) Public Contri.,500000
634,505104 Water Supply,4103215 Machinery for Recovery of Water Tax,100000
635,505104 Water Supply,4103217 Enhancement of Water Storage Capacity (VABCOS),500000
636,505104 Water Supply,4103253 Deepening of Water Ponds,10000000
637,505104 Water Supply,"4103280 Renovation of Khajrana, Bilawali and Limbodi Tank",30000000
638,505104 Water Supply,4106011 Purchase of Office Equipment,500000
639,505104 Water Supply,4107010 Exp for Installation GPS System on Water Tanker,2000000
640,505104 Water Supply,4108005 Beautification of querry at annapurna,12500000
641,505104 Water Supply,4108011 Construction of boundary wall & Rest house at yaswant sagar dam,15000000
642,505105 Tubewell,2101001 Salaries & Allowances,20000000
643,505105 Tubewell,2201221 Postage/Courier expenses,10000
644,505105 Tubewell,2202101 Printing expenses,100000
645,505105 Tubewell,2203005 Travelling and Conveyance - Staff,50000
646,505105 Tubewell,2208051 Miscellaneous expenses,100000
647,505105 Tubewell,2208511 Expenses on General Survey,200000
648,505105 Tubewell,2301011 Electricity Expenses for Tube Well,120000000
649,505105 Tubewell,2303012 Stores for Public Lighting,5000000
650,505105 Tubewell,2305022 Borewell/Open wells,6900000
651,505105 Tubewell,2305027 Tubewells and Handpumps,100000
652,505105 Tubewell,2305043 Fire Hydrants,5000000
653,505105 Tubewell,"2305054 Maint. of Tubewell, Handpump and Sumpwell",30000000
654,505105 Tubewell,2305055 Cleaning of Wells,5000000
655,505105 Tubewell,2305056 Cleaning of Tubewell Pump,100000
656,505105 Tubewell,2305057 Exp on Rewinding of Tubewell Pump,1000
657,505105 Tubewell,2305058 Maint. of Elec. Fittings and Openwell Pump,1000
658,505105 Tubewell,2305059 Conducting of Survey of Pvt. Tubewell,1000
659,505105 Tubewell,2305060 Maint. of Handpump,1000
660,505105 Tubewell,2305066 Purchase of Capacitor For Tubewell,100000
661,505105 Tubewell,2305401 Maint. of Furniture /Fixtures,100000
662,505105 Tubewell,4103203 Tube Wells,12500000
663,505105 Tubewell,4103219 Purchase Of G.I. Pipe For New Tubewell,100000
664,505105 Tubewell,4103220 Purchase Of Pumpset For Jansahyog Tubewell,2500000
665,505105 Tubewell,4103221 New Tubewells & Machines (Slum Area),5000000
666,505105 Tubewell,4103222 Additional Source of New Hydrade,5000000
667,505105 Tubewell,4103281 Renovation of Old Bavdiya,5000000
668,505105 Tubewell,4103288 The combination of the electric power expenditure on new tubewells,15000000
669,505105 Tubewell,4106011 Purchase of Office Equipment,500000
670,505105 Tubewell,4106012 Purchase of Pumpset,100000
671,505105 Tubewell,4107001 Purchase of Furniture,100000
672,505105 Tubewell,4107008 Purchase of Sintex water tank (Tube well Department ),2500000
673,505105 Tubewell,4107009 Annual Exp for Maintenance of tube well,500000
674,505105 Tubewell,4122091 Expenses from MLA Fund,2500000
675,505105 Tubewell,4122099 Expenses From Member of Parliament Fund,2500000
676,505106 yashvant sagar pumping,2101001 Salaries & Allowances,24000000
677,505106 yashvant sagar pumping,2201221 Postage/Courier expenses,10000
678,505106 yashvant sagar pumping,2203005 Travelling and Conveyance - Staff,100000
679,505106 yashvant sagar pumping,2205107 License Fees/Renewal of Licenses,25000
680,505106 yashvant sagar pumping,2205108 Fee For Renewal of License of Devdharam Filter Plant,25000
681,505106 yashvant sagar pumping,2208008 Exp. On Security Guards at Devdharam Pumping Station,1500000
682,505106 yashvant sagar pumping,2208051 Miscellaneous expenses,500000
683,505106 yashvant sagar pumping,2301015 Electricity Expenses - MPSEB - Yashwant Sagar Devdharam,30000000
684,505106 yashvant sagar pumping,2301016 Electricity Expenses - MPSEB - Bilawali,400000
685,505106 yashvant sagar pumping,2301017 Electricity Expenses - MPSEB - Harsidhi,200000
686,505106 yashvant sagar pumping,2305078 Purchase of Impelor,1500000
687,505106 yashvant sagar pumping,2305079 Constration Work at Yeshwant Sagar/ other work expenses,1500000
688,505106 yashvant sagar pumping,2305080 work at Devdharam Filter Plant,2500000
689,505106 yashvant sagar pumping,2305082 Maint. Of Pumpinig at Yashwant Sagar,2500000
690,505106 yashvant sagar pumping,2305083 Exp. at Devdharam Filter Plant,2500000
691,505106 yashvant sagar pumping,2305084 Maint Of Machinery at Devdharam,800000
692,505106 yashvant sagar pumping,2305085 Maint.of Machine Fulkalaria,500000
693,505106 yashvant sagar pumping,2305175 Maint. of Bilawali and Limodi Takab,1000000
694,505106 yashvant sagar pumping,4102097 Purchase of Naav At Devdharam,2000000
695,505106 yashvant sagar pumping,4102098 Constration of Store Room at Devdharam,1000
696,505106 yashvant sagar pumping,4103018 Constriction Bridge at Calmer Ghat,27500000
697,505106 yashvant sagar pumping,4103216 Gradation of RAO/Bilawli Channel,1000
698,505106 yashvant sagar pumping,4103218 Construction on Sirpur Talab,20000000
699,505106 yashvant sagar pumping,4103317 Installation of Transformer at Yashwant Sagar,3000000
700,505106 yashvant sagar pumping,4103318 Electric Arrangement at Yashwant Sagar and Devdharam,2500000
701,505106 yashvant sagar pumping,4106012 Purchase of Pumpset,2000000
702,505201 Drainage Department,2101001 Salaries & Allowances,25000000
703,505201 Drainage Department,2101021 Wages (Muster Workers),20000000
704,505201 Drainage Department,2201221 Postage/Courier expenses,5000
705,505201 Drainage Department,2202101 Printing expenses,200000
706,505201 Drainage Department,2203005 Travelling and Conveyance - Staff,50000
707,505201 Drainage Department,2208051 Miscellaneous expenses,500000
708,505201 Drainage Department,2208511 Expenses on General Survey,5000000
709,505201 Drainage Department,2303009 Equipments for Health and Safety in Drainage Works,1500000
710,505201 Drainage Department,2305011 Underground Drains (Sewer Pipes Network),50000000
711,505201 Drainage Department,2305077 White Washing of Urinals,3000000
712,505201 Drainage Department,2305121 Public Toilets,1500000
713,505201 Drainage Department,2305190 Fee for renewal of License of Low Level Pump Station,5000
714,505201 Drainage Department,2305191 Maint.of Chambers,13800000
715,505201 Drainage Department,2305192 Maint. of Low Lavel Pumping Station,4500000
716,505201 Drainage Department,2305193 Const. of Storm Water Rain,6000000
717,505201 Drainage Department,2305194 Exp. on Covering of Main Holes,6900000
718,505201 Drainage Department,2305195 Exp. on Raising of Main Holes,6900000
719,505201 Drainage Department,2718093 Water Tax to M.P.S. Pollution Control,1000
720,505201 Drainage Department,2718094 Rent of Railway pipe line(w),100000
721,505201 Drainage Department,4102020 Const. Public Toilets,10000000
722,505201 Drainage Department,4102021 New Public Toilets in Slum Area,5000000
723,505201 Drainage Department,4103103 Sewer Pipes,300000000
724,505201 Drainage Department,4103104 Storm Water Gutters,20000000
725,505201 Drainage Department,4103106 New Sewer Line - Slum Areas,20000000
726,505201 Drainage Department,4103107 New Sewer Line - Jan Sahyog,20000000
727,505201 Drainage Department,4103117 Expenditure on the overall development plan of the city'' Drainage,400000000
728,505201 Drainage Department,4104008 Manhole Mud Remover Machine,4000000
729,505201 Drainage Department,"4106013 Purchase of Machine, Sewerline",20000000
730,505201 Drainage Department,4123004 Share of IMC (Sulabh Complex),14200000
731,606101 Garden Department,2101001 Salaries & Allowances,52500000
732,606101 Garden Department,2101021 Wages (Muster Workers),29500000
733,606101 Garden Department,2201221 Postage/Courier expenses,10000
734,606101 Garden Department,2202101 Printing expenses,100000
735,606101 Garden Department,2203005 Travelling and Conveyance - Staff,10000
736,606101 Garden Department,2208051 Miscellaneous expenses,100000
737,606101 Garden Department,2208545 Expenses on Plantations on Pitra Parvat,300000
738,606101 Garden Department,2305049 Vehicle Hire Rent JCB/Other,600000
739,606101 Garden Department,2305050 Maint of Quarters,25000
740,606101 Garden Department,"2305101 Parks, Nurseries & Gardens",10000
741,606101 Garden Department,2305104 Swimming Pool Mhow Naka,1000000
742,606101 Garden Department,"2305110 Dev. of Pakshi Vihar/ Bird Sanctuaries, Aquariums",200000
743,606101 Garden Department,2305153 Exp for Maintenance Of garden By R.W.A./Mohalla samiti,500000
744,606101 Garden Department,2305162 Exp for Pipliya Pala regional Park Maintance,30000000
745,606101 Garden Department,2305178 Maint of Swimming Pool - Nehru Park,1000000
746,606101 Garden Department,2305179 Exp. on Beautification of Sqr (Main),1000000
747,606101 Garden Department,2305180 Maint. of Bijasan Garden,300000
748,606101 Garden Department,2305181 Maint. of Deen Dayal Garden,300000
749,606101 Garden Department,2305182 Maint. of Sirpur Garden,100000
750,606101 Garden Department,2305183 Maint. of Pipliyapala Garedn,100000
751,606101 Garden Department,2305184 Maint. of Nehru park,1000000
752,606101 Garden Department,2305186 Maint. of Meghdoot Garden & Bharatmata Temple Garden,500000
753,606101 Garden Department,2305187 Exp. on Plantation on Parinay Project,10000
754,606101 Garden Department,2305188 Exp. on Plantation on Pitra Parvat,10000
755,606101 Garden Department,2305189 Maint of Garden & Picnic Spots,30000000
756,606101 Garden Department,2305198 Maintenance of gardens and entertainment Places,12000000
757,606101 Garden Department,2305199 Maintenance of parks Developed by Municipal corporation,100000
758,606101 Garden Department,4101005 Dev. of Parks & Gardens,100000000
759,606101 Garden Department,4101008 Swimming Pool,100000
760,606101 Garden Department,4101009 Dev. Of Pitra Parvat,500000
761,606101 Garden Department,4101010 Dev. of Nehru Park,1500000
762,606101 Garden Department,4101011 Dev. of Bijasan,100000
763,606101 Garden Department,4101012 Plantation on Govt. Land,2500000
764,606101 Garden Department,4101029 Construction of Entertainment Place Near Sirpur talab (Appu Ghar and Other,1500000
765,606101 Garden Department,4103008 Road side Avenue Plantation (Project Green),10000000
766,606101 Garden Department,4105011 Purchase of JCB/Truck / Tractar/ Water tank,4000000
767,606101 Garden Department,4106011 Purchase of Office Equipment,50000
768,606101 Garden Department,4107001 Purchase of Furniture,50000
769,606101 Garden Department,4108015 Kids Zone plan expenditure,10000000
770,606501 Zoo Department,2101001 Salaries & Allowances,17500000
771,606501 Zoo Department,2101011 Expenditure on labor,2000000
772,606501 Zoo Department,2201221 Postage/Courier expenses,10000
773,606501 Zoo Department,2202101 Printing expenses,50000
774,606501 Zoo Department,2203005 Travelling and Conveyance - Staff,200000
775,606501 Zoo Department,2208051 Miscellaneous expenses,50000
776,606501 Zoo Department,2303010 Stores for Zoo/Sanctuaries,4000000
777,606501 Zoo Department,2303011 Stores for Medicine Consumption,500000
778,606501 Zoo Department,2303013 Exp. On Food for Animal,2000000
779,606501 Zoo Department,2303014 Exp. On Green Grass For Animals,1600000
780,606501 Zoo Department,2303015 Exp. on Dry Grass For Animal,2000000
781,606501 Zoo Department,2305109 Zoos (including maintenance of cages),3000000
782,606501 Zoo Department,2305138 Training & Education of Zoo Staff,100000
783,606501 Zoo Department,2305139 Maint. of Cages For Animal Security,500000
784,606501 Zoo Department,2305143 Moveable Cages For Animal,1000000
785,606501 Zoo Department,2305144 Exp. on Security Guard Arrangement,2000000
786,606501 Zoo Department,2305145 Maintenance of Fishhome,5000000
787,606501 Zoo Department,2305146 Maintenance of Cages and other,500000
788,606501 Zoo Department,2308015 Fruit and Vegetable Exp for Animals,1800000
789,606501 Zoo Department,2502011 Exp. On Animal Week,100000
790,606501 Zoo Department,4101013 Purchase of New Animal,1000000
791,606501 Zoo Department,4101014 Exp. on Equipment For Vetarny Hospital,1000000
792,606501 Zoo Department,4101015 Construction of Elephant Cage,5000000
