Srno,Department,Budget Head,Allocation
401,202701 Public Works,4108002 Beautification and other Civic works on pitra parwat and Bijasan Tekari,10000000
402,202701 Public Works,4108003 Exp on Development of Harsidhi/Chhatribagh/Gangaurghat,2500000
403,202701 Public Works,4108007 Development of Atal Sports Complex,20000000
404,202701 Public Works,4108052 Exp. on Development of ST/SC Area,100000000
405,202701 Public Works,4108072 Building Permission automation,1000000
406,202701 Public Works,4108087 Project Monitoring/ Consulting/ Skupervision Charges,3000000
407,202701 Public Works,4122090 Exp. form State Education Center,20000000
408,202701 Public Works,4122091 Expenses from MLA Fund,10000000
409,202701 Public Works,4122099 Expenses From Member of Parliament Fund,10000000
410,202701 Public Works,4123005 Construction of Administrative Building of Municipal Corporation ( I Phase),20000000
411,202701 Public Works,4123006 Construction of Hawkers Zone,30000000
412,202701 Public Works,4123007 Construction of yaswant Sagar Cow Shed,10000000
413,202701 Public Works,4123008 Residential Building of Employee,100000
414,202701 Public Works,4123009 Construction of Night Shelter,5000000
415,202701 Public Works,4123010 Construction of Community Hall in Colonies,10000000
416,202701 Public Works,4123016 Construction of Community Hall ( Safai karmchari / Slum Areas),15000000
417,202701 Public Works,4123017 Construction of New Vegetable Market,100000
418,303101 Public Health Department,2101001 Salaries & Allowances,200000000
419,303101 Public Health Department,2101021 Wages (Muster Workers),150000000
420,303101 Public Health Department,2101022 Seasonal and Urgent Works,6000000
421,303101 Public Health Department,2201221 Postage/Courier expenses,1000
422,303101 Public Health Department,2202101 Printing expenses,200000
423,303101 Public Health Department,2203005 Travelling and Conveyance - Staff,100000
424,303101 Public Health Department,2206041 Workshop and Seminars,200000
425,303101 Public Health Department,2208051 Miscellaneous expenses,100000
426,303101 Public Health Department,2208507 Survey for Health Work,100000
427,303101 Public Health Department,2208508 Survey for Dignity Scheme,10000
428,303101 Public Health Department,2208530 Expenses for Clearing Grass/Weeds,750000
429,303101 Public Health Department,2208536 Prevention of Deseases,1000000
430,303101 Public Health Department,2208542 Temporary Employee E P.F. and Insurance Exp,1000000
431,303101 Public Health Department,2208543 Expenses on Health Camps,800000
432,303101 Public Health Department,2208544 Expenses on Stray Animals (Dogs),25000
433,303101 Public Health Department,2208548 Health Campus at Backward Areas,750000
434,303101 Public Health Department,2208549 Exp. on Education of Safai Kamgar Children,3000000
435,303101 Public Health Department,2208551 Milk at Jhoola Ghar for Children of Safai kamgar,200000
436,303101 Public Health Department,2208554 Exp. On Animal Care Centre,2000000
437,303101 Public Health Department,2303050 Exp. On Kachra Peti,500000
438,303101 Public Health Department,2303053 Swanon binding and vaccination of stray and other expenses,100000
439,303101 Public Health Department,2303096 Water Purification Chlorin Drops,1000000
440,303101 Public Health Department,2303098 Kerosine for D.D.T.,100000
441,303101 Public Health Department,2501003 Dr. Shyama Prasad Mukherjee Accidental Insurance Scheme (For Citizens of Indore),1500000
442,303101 Public Health Department,2501004 Pt. Dindayal Senior Citizen Insurance Scheme (For Citizens of Indore),8000000
443,303101 Public Health Department,2501005 Participation in National Health Program,100000
444,303101 Public Health Department,2501009 Expenses on Working of Shri Kushabhau Thackrey Health Centre,1000000
445,303101 Public Health Department,4102035 Construction of Attendance Centres at Wards,5000000
446,303101 Public Health Department,4105009 Dog Catching Vehicle,2000000
447,303101 Public Health Department,4105017 Purchase of Vehicle,10000000
448,303101 Public Health Department,4106002 Purchase of Computers/Peripherals,200000
449,303101 Public Health Department,4106011 Purchase of Office Equipment,100000
450,303101 Public Health Department,4107001 Purchase of Furniture,500000
451,303102 Public Health Department,2208535 Insecticides in Poor Colonies,300000
452,303102 Public Health Department,2208553 Removal of Pigs,100000
453,303102 Public Health Department,2303001 Stores for Room Cleaning (Phynyle and Neon),1500000
454,303102 Public Health Department,2303002 Stores for Control of Malaria,1500000
455,303102 Public Health Department,2303004 Stores for Water Purification,1000000
456,303102 Public Health Department,2303052 Insecticide,500000
457,303102 Public Health Department,2303097 Insecticides for Mosquitos,1500000
458,404101 Solid Waste Management,2305052 Trenching Grounds/Landfill Sites,1000
459,404101 Solid Waste Management,4101002 Land Development Cost(Treching ground),5000000
460,404101 Solid Waste Management,4101006 Landfill Site (Trenching Ground),15000000
461,404101 Solid Waste Management,4101092 Const. of Temp. Trenching Ground(Waste Transfer Station),1000
462,404101 Solid Waste Management,4102008 Construction of Pig-Houses,1500000
463,404101 Solid Waste Management,4104003 Cleaning Equipments,1000000
464,404102 Landfill Sites Management,2201131 Attendance/Time Maintenance,7500000
465,404102 Landfill Sites Management,2208521 Expenses for Weighing of Garbage,500000
466,404102 Landfill Sites Management,2208530 Expenses for Clearing Grass/Weeds,300000
467,404102 Landfill Sites Management,2208531 Expenses on Sanitary Scheme,100000
468,404102 Landfill Sites Management,2208541 Expenses for Removing of Dead Bodies,100000
469,404102 Landfill Sites Management,2208550 Exp. on Sanitary Traning to Safai kamgar,200000
470,404102 Landfill Sites Management,2208552 Mobile Van Magistrate Exp.,600000
471,404102 Landfill Sites Management,2303005 Stores for Road Cleaning,1500000
472,404102 Landfill Sites Management,2303051 Cleaning Material,500000
473,404102 Landfill Sites Management,2303093 Cleaning Material Others,500000
474,404102 Landfill Sites Management,"2303094 Cleaning Material Tagari, Phawda & Geti",1000000
475,404102 Landfill Sites Management,2304002 Hire Charges of Heavy Vehicles,100000
476,404102 Landfill Sites Management,2304008 Kachra Transportation Exp.,60000000
477,404102 Landfill Sites Management,2305051 Garbage Collection Points,3000000
478,404102 Landfill Sites Management,2305053 Wheel Barrows (Hath Gadi),750000
479,404102 Landfill Sites Management,4101002 Land Development Cost(Treching ground),5000000
480,404102 Landfill Sites Management,4104002 Septic Tank Vaccum Machine,100000
481,404102 Landfill Sites Management,4104013 Cleaning Equipment for Rehwasi Sangh,1000
482,404102 Landfill Sites Management,4105004 Trucks (Lorries and Dumpers),10000000
483,404102 Landfill Sites Management,4105010 Wheel Barrows,5000000
484,404103 Street Watering & Cleaning,2201004 Rent - Slaughter House,100000
485,404103 Street Watering & Cleaning,2303095 Water Purification Bleaching Powder,1000000
486,404103 Street Watering & Cleaning,2503004 Expenditure on residents Sandho award for cleaning up,5000000
487,505102 Narmada Division 1,2101001 Salaries & Allowances,93800000
488,505102 Narmada Division 1,2201221 Postage/Courier expenses,15000
489,505102 Narmada Division 1,2202101 Printing expenses,400000
490,505102 Narmada Division 1,2203005 Travelling and Conveyance - Staff,500000
491,505102 Narmada Division 1,2206102 Fee For Renewal of Narmada Sch. Pumping Station,300000
492,505102 Narmada Division 1,2301001 Electricity Exp Narmada Connection/Water Works,750000000
493,505102 Narmada Division 1,2305001 Land Boundaries & Fences,500000
494,505102 Narmada Division 1,2305033 Maint of Transformer,2000000
495,505102 Narmada Division 1,2305046 Maint of B.P.Tank,200000
496,505102 Narmada Division 1,2305047 Maint. of Roads,6000000
497,505102 Narmada Division 1,2305048 Maint. of Intactwell,100000
498,505102 Narmada Division 1,2305076 Maint. Of Building,1200000
499,505102 Narmada Division 1,2305086 Expenditure On Previous Year Devlopment Works,100000
500,505102 Narmada Division 1,2305089 Purchase of Valve,500000
501,505102 Narmada Division 1,2305112 Maint. Of Plant and Machinery Intakewell,4000000
502,505102 Narmada Division 1,2305113 Maint. of Plant & Machinery of Pumphouse No. 2,2500000
503,505102 Narmada Division 1,2305114 Maint. of Plant & Machinery of Pumphouse No. 3,2500000
504,505102 Narmada Division 1,2305115 Maint. of Plant & Machinery of Pumphouse No. 4,2500000
505,505102 Narmada Division 1,2305116 Maint. of Plant & Machinery of Pumphouse No. 5,2500000
506,505102 Narmada Division 1,2305117 Maint of Electrical Equipment,2500000
507,505102 Narmada Division 1,2305118 Maint of Spare Parts,500000
508,505102 Narmada Division 1,2305119 Maint of Pipeline of Pumphouse No.1,100000
509,505102 Narmada Division 1,2305120 Maint. of Intakewell Bridge and Pumphouse,100000
510,505102 Narmada Division 1,2305122 Maint. of Retaining Wall,1500000
511,505102 Narmada Division 1,2305123 Maint. of Clear Water Pump,2000000
512,505102 Narmada Division 1,2305124 Maint of Panels and Cables,500000
513,505102 Narmada Division 1,2305125 Maint. of Pipeline B.P. Tank,1000000
514,505102 Narmada Division 1,2305126 Spares for Raw Water Pump,4000000
515,505102 Narmada Division 1,2305127 Spares For Clear Water Pump,1000000
516,505102 Narmada Division 1,2305128 Tools for T & P Machinery,300000
517,505102 Narmada Division 1,2305129 Purchase of Battries,100000
518,505102 Narmada Division 1,2305135 Purchase of Capacitor,1000000
519,505102 Narmada Division 1,2305136 Vehicle Rent,50000
520,505102 Narmada Division 1,2305137 Tender Publishing Exp,500000
521,505102 Narmada Division 1,2305140 Maint of Water Purification Plant,3000000
522,505102 Narmada Division 1,2305209 Employees' Quarters,2000000
523,505102 Narmada Division 1,2305215 Maint.Of Building,1500000
524,505102 Narmada Division 1,2305301 Maint of Vehicles (Motor Car),2000000
525,505102 Narmada Division 1,2305512 Laboratory Equipment,200000
526,505102 Narmada Division 1,2305905 Fire Fighting Equipments,100000
527,505102 Narmada Division 1,2305907 Maint Of Telephone and Wireless,400000
528,505102 Narmada Division 1,2305908 Spare Parts and Consumables,1500000
529,505102 Narmada Division 1,2308013 Chemicals and other Goods,6000000
530,505102 Narmada Division 1,4102006 Constrn. of Staff Quarters,1500000
531,505102 Narmada Division 1,4105001 Purchase of Vehicles/Motor Car,1000000
532,505102 Narmada Division 1,4106002 Purchase of Computers/Peripherals,200000
533,505102 Narmada Division 1,4106008 Purchase of Fire Fighting Equipments,100000
534,505102 Narmada Division 1,4106014 Purchase of Transformer,3500000
535,505102 Narmada Division 1,4106015 Purchase of Electrical Motors,200000
536,505102 Narmada Division 1,4106016 Purchase of Onload Tape Changer,10000
537,505102 Narmada Division 1,4106017 Purchase of Voltage Protection System,200000
538,505102 Narmada Division 1,4106019 Relay Tarriff Meter,10000
539,505103 Narmada Division 2,2101001 Salaries & Allowances,113834000
540,505103 Narmada Division 2,2101024 Payment to temporary labour on high level tanks,27500000
541,505103 Narmada Division 2,2201101 Electricity Charges - Office,12500000
542,505103 Narmada Division 2,2201106 Office Expenditure of Circle Office,1000000
543,505103 Narmada Division 2,2201201 Telephone expenses,1250000
544,505103 Narmada Division 2,2201221 Postage/Courier expenses,15000
545,505103 Narmada Division 2,2202101 Printing expenses,300000
546,505103 Narmada Division 2,2203005 Travelling and Conveyance - Staff,100000
547,505103 Narmada Division 2,2206002 Tenders Advertisement Expenses,2000000
548,505103 Narmada Division 2,2206041 Workshop and Seminars,50000
549,505103 Narmada Division 2,2208051 Miscellaneous expenses,2300000
550,505103 Narmada Division 2,2208511 Expenses on General Survey,200000
551,505103 Narmada Division 2,2208522 Expenses on Water Meters,500000
552,505103 Narmada Division 2,2302007 Purchase of Valves and Maintenanes,5000000
553,505103 Narmada Division 2,2302008 Special repairing work at water tank,6000000
554,505103 Narmada Division 2,2303008 Stores & Spares for Water Distribution,4000000
555,505103 Narmada Division 2,2304001 Hire Charges of Light Vehicles,400000
556,505103 Narmada Division 2,2305009 Culverts/Small Bridges,500000
557,505103 Narmada Division 2,2305016 Maint. of City Distribution Pipeline,12500000
558,505103 Narmada Division 2,2305017 Maint. of Main Trunk Pipeline,12000000
559,505103 Narmada Division 2,2305018 Maint. of Main Trunk,12000000
560,505103 Narmada Division 2,2305019 Purchase Of Electrical Equipments,500000
561,505103 Narmada Division 2,2305020 Change of Old Pipeline,20000000
562,505103 Narmada Division 2,2305024 Water Reservoirs (Overhead Tanks),7500000
563,505103 Narmada Division 2,2305033 Maint of Transformer,500000
564,505103 Narmada Division 2,2305035 Electric Sub-Station,200000
565,505103 Narmada Division 2,2305046 Maint of B.P.Tank,500000
566,505103 Narmada Division 2,2305047 Maint. of Roads,1000000
567,505103 Narmada Division 2,2305048 Maint. of Intactwell,100000
568,505103 Narmada Division 2,2305086 Expenditure On Previous Year Devlopment Works,20000000
569,505103 Narmada Division 2,2305159 Expenditure on Survey and Drawing of Water Distribution Lines,5000000
570,505103 Narmada Division 2,2305209 Employees' Quarters,1000000
571,505103 Narmada Division 2,2305211 Maint of Office Building,1000000
572,505103 Narmada Division 2,2305212 Maint of Store Building,1500000
573,505103 Narmada Division 2,2305213 Maint of Guest House,1000000
574,505103 Narmada Division 2,2305214 Maint of Rao Sumpwell,1250000
575,505103 Narmada Division 2,2305301 Maint of Vehicles (Motor Car),1500000
576,505103 Narmada Division 2,2305401 Maint. of Furniture /Fixtures,100000
577,505103 Narmada Division 2,2305512 Laboratory Equipment,500000
578,505103 Narmada Division 2,2305905 Fire Fighting Equipments,300000
579,505103 Narmada Division 2,2305906 Maint. of Office Equipment,200000
580,505103 Narmada Division 2,2305907 Maint Of Telephone and Wireless,200000
581,505103 Narmada Division 2,2305908 Spare Parts and Consumables,500000
582,505103 Narmada Division 2,2308013 Chemicals and other Goods,3000000
583,505103 Narmada Division 2,2308014 Emergency Repairs,2000000
584,505103 Narmada Division 2,2403003 Interest on HUDCO Lona For Overhead Tank (Old Tank),15000000
585,505103 Narmada Division 2,2403004 Interest on HUDCO Lona For Overhead Tank (New),3500000
586,505103 Narmada Division 2,2403005 Interest on Army Loan,2000000
587,505103 Narmada Division 2,3312003 Repayment Of HUDCO Loan (Tanks Part 2),7500000
588,505103 Narmada Division 2,3312004 Repayment of Army Loan,4000000
589,505103 Narmada Division 2,3312005 Repayment of Loan - Sukhlia Water Tank & Khatiwala Tank,5500000
590,505103 Narmada Division 2,3312006 Repayment of Loan - For Overhead Tank ( Old Water Tank),5500000
591,505103 Narmada Division 2,4103204 Water Reservoirs (Overhead),10000000
592,505103 Narmada Division 2,4103205 New Water Pipe Lines,20000000
593,505103 Narmada Division 2,4103223 New Overhead Tank - Bada Ganpati,1000000
594,505103 Narmada Division 2,4103224 New Overhead Tank - Nanda nagar/ Pipe line Exp.,10000000
595,505103 Narmada Division 2,4103225 New Overhead Tank - Chandan Nagar,5000000
596,505103 Narmada Division 2,4103226 New Overhead Tank - Khajrana and other Part -2,5000000
597,505103 Narmada Division 2,4103227 New Overhead Tank & Other works - Khatiwala Tank,1000000
598,505103 Narmada Division 2,4103228 New Overhead Tank - Other Work Sch. No. 54/74,10000000
599,505103 Narmada Division 2,4103229 New Overhead Tank - Chhatribagh,1000000
600,505103 Narmada Division 2,4103231 Renovation of Damage Pipe Line,10000000
601,505103 Narmada Division 2,4103232 Management of Bilawali Filter Plant,2500000
602,505103 Narmada Division 2,4103233 Operation and Maintanance of 12 M.L.D. STP & MPS Allied Works at Kabit Khedi,7000000
603,505103 Narmada Division 2,"4103254 Construction of Three new water overhead tnaks (antim chauraha,Bizalpur & Narwal )",10000000
604,505103 Narmada Division 2,4103255 Extension of Pipe line for water in Scheme no 74,3000000
605,505103 Narmada Division 2,4104015 Supply and Installation of Elctro Magnetic and bulk Meter,200000
606,505103 Narmada Division 2,4104043 Operation and Maint. of 78 Mld STP & MPS & Allied Works at kabir khedi,13500000
607,505103 Narmada Division 2,4106002 Purchase of Computers/Peripherals,250000
608,505103 Narmada Division 2,4106008 Purchase of Fire Fighting Equipments,300000
609,505103 Narmada Division 2,4106011 Purchase of Office Equipment,100000
610,505103 Narmada Division 2,4107001 Purchase of Furniture,300000
611,505104 Water Supply,2101001 Salaries & Allowances,37000000
612,505104 Water Supply,2101021 Wages (Muster Workers),3000000
613,505104 Water Supply,2201221 Postage/Courier expenses,10000
614,505104 Water Supply,2202101 Printing expenses,200000
615,505104 Water Supply,2203005 Travelling and Conveyance - Staff,100000
616,505104 Water Supply,2206041 Workshop and Seminars,200000
617,505104 Water Supply,2208051 Miscellaneous expenses,600000
618,505104 Water Supply,2302002 Emergency Water Supply,12000000
619,505104 Water Supply,2304006 Hire Charges of Water Tankers,60000000
620,505104 Water Supply,2305014 Manholes,1000000
621,505104 Water Supply,2305021 Water ways (Distribution Pipes),13800000
622,505104 Water Supply,2305021 Water ways (Distribution Pipes),15000000
623,505104 Water Supply,2305023 Rain Water Harvesting (Water Recharging),300000
624,505104 Water Supply,2305024 Water Reservoirs (Overhead Tanks),5000000
625,505104 Water Supply,2305025 Water Standposts,100000
626,505104 Water Supply,2305026 Platform for Water Standposts,100000
627,505104 Water Supply,2305028 Maintenance of Service Road at yashwant sagar Pipe line,1500000
628,505104 Water Supply,2305033 Maint of Transformer,2500000
629,505104 Water Supply,2305042 Maint of Impelor,600000
630,505104 Water Supply,2305044 Grant from State Government for Water Problem Exp.,90000000
631,505104 Water Supply,2305086 Expenditure On Previous Year Devlopment Works,20000000
632,505104 Water Supply,2305087 Publicity for Water Recharging,1000000
633,505104 Water Supply,2305089 Purchase of Valve,6900000
634,505104 Water Supply,2305090 Exp. On Maintains of Bilawli Filter Plant,100000
635,505104 Water Supply,2305091 Jal Abhishek and other place Water Recharging Exp,7000000
636,505104 Water Supply,2305092 Water Recharging Expenses - Public Places,300000
637,505104 Water Supply,2305093 Maint. of Typewriter / Photocopy Machine,100000
638,505104 Water Supply,2305094 Water Recharging Exp - School Buildings,500000
639,505104 Water Supply,2305096 Water Recharging Exp. Govt. Buildings,300000
640,505104 Water Supply,2305097 Water Recharging Exp - Gardens,1500000
641,505104 Water Supply,2305098 Water Recharging Exp. Corp. Buildings,2000000
642,505104 Water Supply,2305099 Identification of Recharging Acquifier Zone,500000
643,505104 Water Supply,2305102 Lakes & Ponds,2500000
644,505104 Water Supply,2305199 Maintenance of parks Developed by Municipal corporation,1000000
645,505104 Water Supply,2305310 Maint. of Boats at Crossing,200000
646,505104 Water Supply,2305603 Exp. On Electric operation on Dam,1200000
647,505104 Water Supply,"2305904 Maintenance of Pumping at 27"" Gravitation",2000000
648,505104 Water Supply,2305905 Fire Fighting Equipments,300000
649,505104 Water Supply,2308006 RCC Syphons,1000000
650,505104 Water Supply,2308011 Chemicals - Chlorine,1000000
651,505104 Water Supply,2308012 Camicals - Bleaching & Others,300000
652,505104 Water Supply,2308098 Chemical - Alum,2500000
653,505104 Water Supply,2502007 Picnics/Functions for School Children,200000
654,505104 Water Supply,2502024 Exhibition & Social Works,100000
655,505104 Water Supply,2718094 Rent of Railway pipe line(w),50000
656,505104 Water Supply,4101003 Boundary Walls,3000000
657,505104 Water Supply,4102033 Construction of Employee quarters At yashwant sagar Dam,5000000
658,505104 Water Supply,4103017 Construction of Road At Devdharam / Pitraparwat,5000000
659,505104 Water Supply,4103205 New Water Pipe Lines,10000000
660,505104 Water Supply,4103209 New Pipeline At New Colonies,5000000
661,505104 Water Supply,4103210 Exp. On Water Supply Pipe line and Maintenance Work at zone (parshad fund),69000000
662,505104 Water Supply,4103211 Exp on Water supply pipe line and Maintenance work at zone (Mayor Fund),69000000
663,505104 Water Supply,4103212 New Water Pipe line (Slum Area),10000000
664,505104 Water Supply,4103214 Laying of Pipe line (Jan sahayog) Public Contri.,500000
665,505104 Water Supply,4103215 Machinery for Recovery of Water Tax,200000
666,505104 Water Supply,4103217 Enhancement of Water Storage Capacity (VABCOS),2500000
667,505104 Water Supply,4103253 Deepening of Water Ponds,10000000
668,505104 Water Supply,4104007 Pumps for Cleaning Well,100000
669,505104 Water Supply,4106011 Purchase of Office Equipment,500000
670,505104 Water Supply,4108005 Beautification of querry at annapurna,10000000
671,505104 Water Supply,4108011 Construction of boundary wall & Rest house at yaswant sagar dam,5000000
672,505105 Tubewell,2101001 Salaries & Allowances,8886000
673,505105 Tubewell,2201221 Postage/Courier expenses,10000
674,505105 Tubewell,2202101 Printing expenses,100000
675,505105 Tubewell,2203005 Travelling and Conveyance - Staff,50000
676,505105 Tubewell,2208051 Miscellaneous expenses,100000
677,505105 Tubewell,2208511 Expenses on General Survey,200000
678,505105 Tubewell,2305022 Borewell/Open wells,500000
679,505105 Tubewell,2305027 Tubewells and Handpumps,100000
680,505105 Tubewell,2305043 Fire Hydrants,10000000
681,505105 Tubewell,"2305054 Maint. of Tubewell, Handpump and Sumpwell",30000000
682,505105 Tubewell,2305055 Cleaning of Wells,1500000
683,505105 Tubewell,2305056 Cleaning of Tubewell Pump,100000
684,505105 Tubewell,2305057 Exp on Rewinding of Tubewell Pump,100000
685,505105 Tubewell,2305058 Maint. of Elec. Fittings and Openwell Pump,100000
686,505105 Tubewell,2305059 Conducting of Survey of Pvt. Tubewell,100000
687,505105 Tubewell,2305060 Maint. of Handpump,100000
688,505105 Tubewell,2305401 Maint. of Furniture /Fixtures,100000
689,505105 Tubewell,4103203 Tube Wells,30000000
690,505105 Tubewell,4103219 Purchase Of G.I. Pipe For New Tubewell,100000
691,505105 Tubewell,4103220 Purchase Of Pumpset For Jansahyog Tubewell,2500000
692,505105 Tubewell,4103221 New Tubewells & Machines (Slum Area),20000000
693,505105 Tubewell,4103222 Additional Source of New Hydrade,15000000
694,505105 Tubewell,4106011 Purchase of Office Equipment,500000
695,505105 Tubewell,4106012 Purchase of Pumpset,100000
696,505105 Tubewell,4107001 Purchase of Furniture,100000
697,505105 Tubewell,4107008 Purchase of Sintex water tank (Tube well Department ),10000000
698,505105 Tubewell,4107009 Annual Exp for Maintenance of tube well,5000000
699,505105 Tubewell,4122091 Expenses from MLA Fund,5000000
700,505105 Tubewell,4122099 Expenses From Member of Parliament Fund,2500000
701,505106 yashvant sagar pumping,2101001 Salaries & Allowances,13500000
702,505106 yashvant sagar pumping,2201221 Postage/Courier expenses,10000
703,505106 yashvant sagar pumping,2203005 Travelling and Conveyance - Staff,100000
704,505106 yashvant sagar pumping,2205107 License Fees/Renewal of Licenses,50000
705,505106 yashvant sagar pumping,2205108 Fee For Renewal of License of Devdharam Filter Plant,50000
706,505106 yashvant sagar pumping,2208008 Exp. On Security Guards at Devdharam Pumping Station,1400000
707,505106 yashvant sagar pumping,2208051 Miscellaneous expenses,500000
708,505106 yashvant sagar pumping,2305078 Purchase of Impelor,1500000
709,505106 yashvant sagar pumping,2305079 Constration Work at Yeshwant Sagar/ other work expenses,1500000
710,505106 yashvant sagar pumping,2305080 work at Devdharam Filter Plant,2500000
711,505106 yashvant sagar pumping,2305081 Maint. Of Bilawali Filter Plant,500000
712,505106 yashvant sagar pumping,2305082 Maint. Of Pumpinig at Yashwant Sagar,2500000
713,505106 yashvant sagar pumping,2305083 Exp. at Devdharam Filter Plant,2500000
714,505106 yashvant sagar pumping,2305084 Maint Of Machinery at Devdharam,800000
715,505106 yashvant sagar pumping,2305085 Maint.of Machine Fulkalaria,500000
716,505106 yashvant sagar pumping,2305175 Maint. of Bilawali and Limodi Takab,1000000
717,505106 yashvant sagar pumping,4102097 Purchase of Naav At Devdharam,400000
718,505106 yashvant sagar pumping,4102098 Constration of Store Room at Devdharam,900000
719,505106 yashvant sagar pumping,4103216 Gradation of RAO/Bilawli Channel,1000000
720,505106 yashvant sagar pumping,4103218 Construction on Sirpur Talab,5000000
721,505106 yashvant sagar pumping,4106012 Purchase of Pumpset,2000000
722,505201 Drainage Department,2101001 Salaries & Allowances,16500000
723,505201 Drainage Department,2101021 Wages (Muster Workers),1200000
724,505201 Drainage Department,2201221 Postage/Courier expenses,5000
725,505201 Drainage Department,2202101 Printing expenses,200000
726,505201 Drainage Department,2203005 Travelling and Conveyance - Staff,50000
727,505201 Drainage Department,2208051 Miscellaneous expenses,500000
728,505201 Drainage Department,2208052 General Repair and Maint.,1000000
729,505201 Drainage Department,2208511 Expenses on General Survey,100000
730,505201 Drainage Department,2303009 Equipments for Health and Safety in Drainage Works,1200000
731,505201 Drainage Department,2305011 Underground Drains (Sewer Pipes Network),35000000
732,505201 Drainage Department,2305077 White Washing of Urinals,3000000
733,505201 Drainage Department,2305121 Public Toilets,3000000
734,505201 Drainage Department,2305190 Fee for renewal of License of Low Level Pump Station,5000
735,505201 Drainage Department,2305191 Maint.of Chambers,13800000
736,505201 Drainage Department,2305192 Maint. of Low Lavel Pumping Station,4500000
737,505201 Drainage Department,2305193 Const. of Storm Water Rain,5175000
738,505201 Drainage Department,2305194 Exp. on Covering of Main Holes,6900000
739,505201 Drainage Department,2305195 Exp. on Raising of Main Holes,6900000
740,505201 Drainage Department,2718093 Water Tax to M.P.S. Pollution Control,1000
741,505201 Drainage Department,2718094 Rent of Railway pipe line(w),100000
742,505201 Drainage Department,3303001 Repayment of HUDCO Loan,1000
743,505201 Drainage Department,4102020 Const. Public Toilets,3000000
744,505201 Drainage Department,4102021 New Public Toilets in Slum Area,2000000
745,505201 Drainage Department,4103103 Sewer Pipes,90000000
746,505201 Drainage Department,4103104 Storm Water Gutters,20000000
747,505201 Drainage Department,4103106 New Sewer Line - Slum Areas,12000000
748,505201 Drainage Department,4103107 New Sewer Line - Jan Sahyog,45000000
749,505201 Drainage Department,4104008 Manhole Mud Remover Machine,6000000
750,505201 Drainage Department,"4106013 Purchase of Machine, Sewerline",500000
751,505201 Drainage Department,4123004 Share of IMC (Sulabh Complex),8000000
752,606101 Garden Department,2101001 Salaries & Allowances,35000000
753,606101 Garden Department,2101021 Wages (Muster Workers),20000000
754,606101 Garden Department,2201221 Postage/Courier expenses,10000
755,606101 Garden Department,2202101 Printing expenses,50000
756,606101 Garden Department,2203005 Travelling and Conveyance - Staff,10000
757,606101 Garden Department,2208051 Miscellaneous expenses,100000
758,606101 Garden Department,2208545 Expenses on Plantations on Pitra Parvat,500000
759,606101 Garden Department,2305049 Vehicle Hire Rent JCB/Other,600000
760,606101 Garden Department,2305050 Maint of Quarters,25000
761,606101 Garden Department,"2305101 Parks, Nurseries & Gardens",375000
762,606101 Garden Department,2305104 Swimming Pool Mhow Naka,1000000
763,606101 Garden Department,"2305110 Dev. of Pakshi Vihar/ Bird Sanctuaries, Aquariums",300000
764,606101 Garden Department,2305153 Exp for Maintenance Of garden By R.W.A./Mohalla samiti,2500000
765,606101 Garden Department,2305178 Maint of Swimming Pool - Nehru Park,500000
766,606101 Garden Department,2305179 Exp. on Beautification of Sqr (Main),2000000
767,606101 Garden Department,2305180 Maint. of Bijasan Garden,300000
768,606101 Garden Department,2305181 Maint. of Deen Dayal Garden,500000
769,606101 Garden Department,2305182 Maint. of Sirpur Garden,50000
770,606101 Garden Department,2305183 Maint. of Pipliyapala Garedn,1000
771,606101 Garden Department,2305184 Maint. of Nehru park,1000000
772,606101 Garden Department,2305185 Meghdoot Garden - Labor and Security Expenses,4000000
773,606101 Garden Department,2305186 Maint. of Meghdoot Garden & Bharatmata Temple Garden,500000
774,606101 Garden Department,2305187 Exp. on Plantation on Parinay Project,10000
775,606101 Garden Department,2305188 Exp. on Plantation on Pitra Parvat,10000
776,606101 Garden Department,2305189 Maint of Garden & Picnic Spots,10000000
777,606101 Garden Department,4101008 Swimming Pool,10000000
778,606101 Garden Department,4101009 Dev. Of Pitra Parvat,6500000
779,606101 Garden Department,4101010 Dev. of Nehru Park,1500000
780,606101 Garden Department,4101011 Dev. of Bijasan,30000000
781,606101 Garden Department,4101012 Plantation on Govt. Land,2500000
782,606101 Garden Department,4101029 Construction of Entertainment Place Near Sirpur talab (Appu Ghar and Other,1500000
783,606101 Garden Department,4105011 Purchase of JCB/Truck / Tractar/ Water tank,8000000
784,606101 Garden Department,4106011 Purchase of Office Equipment,50000
785,606101 Garden Department,4107001 Purchase of Furniture,50000
786,606501 Zoo Department,2101001 Salaries & Allowances,10000000
787,606501 Zoo Department,2101011 Expenditure on labor,300000
788,606501 Zoo Department,2201221 Postage/Courier expenses,10000
789,606501 Zoo Department,2202101 Printing expenses,10000
790,606501 Zoo Department,2203005 Travelling and Conveyance - Staff,50000
791,606501 Zoo Department,2208051 Miscellaneous expenses,50000
792,606501 Zoo Department,2303010 Stores for Zoo/Sanctuaries,3500000
793,606501 Zoo Department,2303011 Stores for Medicine Consumption,500000
794,606501 Zoo Department,2303013 Exp. On Food for Animal,3000000
795,606501 Zoo Department,2303014 Exp. On Green Grass For Animals,1200000
796,606501 Zoo Department,2303015 Exp. on Dry Grass For Animal,3000000
797,606501 Zoo Department,2305109 Zoos (including maintenance of cages),3500000
