Srno,Department,Budget Head,Allocation
403,303101 Public Health Department,2202101 Printing expenses,100000
404,303101 Public Health Department,2203005 Travelling and Conveyance - Staff,100000
405,303101 Public Health Department,2206041 Workshop and Seminars,100000
406,303101 Public Health Department,2208051 Miscellaneous expenses,100000
407,303101 Public Health Department,2208507 Survey for Health Work,100000
408,303101 Public Health Department,2208508 Survey for Dignity Scheme,10000
409,303101 Public Health Department,2208530 Expenses for Clearing Grass/Weeds,300000
410,303101 Public Health Department,2208536 Prevention of Deseases,100000
411,303101 Public Health Department,2208542 Temporary Employee E P.F. and Insurance Exp,200000
412,303101 Public Health Department,2208543 Expenses on Health Camps,500000
413,303101 Public Health Department,2208544 Expenses on Stray Animals (Dogs),25000
414,303101 Public Health Department,2208548 Health Campus at Backward Areas,500000
415,303101 Public Health Department,2208549 Exp. on Education of Safai Kamgar Children,500000
416,303101 Public Health Department,2208551 Milk at Jhoola Ghar for Children of Safai kamgar,180000
417,303101 Public Health Department,2208554 Exp. On Animal Care Centre,2000000
418,303101 Public Health Department,2303003 Stores for Control of Rodents/Mice/Rats,1000
419,303101 Public Health Department,2303050 Exp. On Kachra Peti,2400000
420,303101 Public Health Department,2303053 Swanon binding and vaccination of stray and other expenses,100000
421,303101 Public Health Department,2303096 Water Purification Chlorin Drops,1000000
422,303101 Public Health Department,2303098 Kerosine for D.D.T.,25000
423,303101 Public Health Department,2305152 Education Exp.for Safai Kamgar Children,2500000
424,303101 Public Health Department,2501003 Dr. Shyama Prasad Mukherjee Accidental Insurance Scheme (For Citizens of Indore),1500000
425,303101 Public Health Department,2501004 Pt. Dindayal Senior Citizen Insurance Scheme (For Citizens of Indore),8000000
426,303101 Public Health Department,2501005 Participation in National Health Program,100000
427,303101 Public Health Department,2501009 Expenses on Working of Shri Kushabhau Thackrey Health Centre,1000000
428,303101 Public Health Department,4105009 Dog Catching Vehicle,800000
429,303101 Public Health Department,4106002 Purchase of Computers/Peripherals,100000
430,303101 Public Health Department,4106011 Purchase of Office Equipment,100000
431,303101 Public Health Department,4107001 Purchase of Furniture,500000
432,303102 Public Health Department,2208535 Insecticides in Poor Colonies,300000
433,303102 Public Health Department,2208553 Removal of Pigs,100000
434,303102 Public Health Department,2303001 Stores for Room Cleaning (Phynyle and Neon),1500000
435,303102 Public Health Department,2303002 Stores for Control of Malaria,1500000
436,303102 Public Health Department,2303004 Stores for Water Purification,1000000
437,303102 Public Health Department,2303052 Insecticide,500000
438,303102 Public Health Department,2303097 Insecticides for Mosquitos,1500000
439,303401 Primary Health Care,2502006 Women & Children Welfare Expenses,10000
440,404101 Solid Waste Management,2305052 Trenching Grounds/Landfill Sites,1000
441,404101 Solid Waste Management,4101002 Land Development Cost(Treching ground),100000
442,404101 Solid Waste Management,4101006 Landfill Site (Trenching Ground),15000000
443,404101 Solid Waste Management,4101092 Const. of Temp. Trenching Ground(Waste Transfer Station),1000
444,404101 Solid Waste Management,4102008 Construction of Pig-Houses,1500000
445,404101 Solid Waste Management,4104003 Cleaning Equipments,500000
446,404102 Landfill Sites Management,2201131 Attendance/Time Maintenance,2400000
447,404102 Landfill Sites Management,2208521 Expenses for Weighing of Garbage,500000
448,404102 Landfill Sites Management,2208531 Expenses on Sanitary Scheme,100000
449,404102 Landfill Sites Management,2208541 Expenses for Removing of Dead Bodies,100000
450,404102 Landfill Sites Management,2208550 Exp. on Sanitary Traning to Safai kamgar,200000
451,404102 Landfill Sites Management,2208552 Mobile Van Magistrate Exp.,600000
452,404102 Landfill Sites Management,2303005 Stores for Road Cleaning,1000000
453,404102 Landfill Sites Management,2303051 Cleaning Material,200000
454,404102 Landfill Sites Management,2303093 Cleaning Material Others,200000
455,404102 Landfill Sites Management,"2303094 Cleaning Material Tagari, Phawda & Geti",1000000
456,404102 Landfill Sites Management,2304002 Hire Charges of Heavy Vehicles,100000
457,404102 Landfill Sites Management,2304008 Kachra Transportation Exp.,50000000
458,404102 Landfill Sites Management,2305051 Garbage Collection Points,2400000
459,404102 Landfill Sites Management,2305053 Wheel Barrows (Hath Gadi),500000
460,404102 Landfill Sites Management,4101002 Land Development Cost(Treching ground),5000000
461,404102 Landfill Sites Management,4104002 Septic Tank Vaccum Machine,100000
462,404102 Landfill Sites Management,4104013 Cleaning Equipment for Rehwasi Sangh,1000
463,404102 Landfill Sites Management,4105004 Trucks (Lorries and Dumpers),1000000
464,404102 Landfill Sites Management,4105010 Wheel Barrows,1000000
465,404103 Street Watering & Cleaning,2201004 Rent - Slaughter House,100000
466,404103 Street Watering & Cleaning,2303095 Water Purification Bleaching Powder,1000000
467,404103 Street Watering & Cleaning,2503004 Expenditure on residents Sandho award for cleaning up,1500000
468,414301 Civic Amenities -Water Supply Dept,"2305101 Parks, Nurseries & Gardens",360000
469,505102 Narmada Division 1,2101001 Salaries & Allowances,72500000
470,505102 Narmada Division 1,2101001 Salaries & Allowances,13500000
471,505102 Narmada Division 1,2201221 Postage/Courier expenses,15000
472,505102 Narmada Division 1,2201221 Postage/Courier expenses,10000
473,505102 Narmada Division 1,2202101 Printing expenses,400000
474,505102 Narmada Division 1,2203005 Travelling and Conveyance - Staff,500000
475,505102 Narmada Division 1,2203005 Travelling and Conveyance - Staff,50000
476,505102 Narmada Division 1,2206102 Fee For Renewal of Narmada Sch. Pumping Station,300000
477,505102 Narmada Division 1,2301001 Electricity Exp Narmada Connection/Water Works,610000000
478,505102 Narmada Division 1,2305001 Land Boundaries & Fences,2500000
479,505102 Narmada Division 1,2305033 Maint of Transformer,2000000
480,505102 Narmada Division 1,2305046 Maint of B.P.Tank,100000
481,505102 Narmada Division 1,2305047 Maint. of Roads,6000000
482,505102 Narmada Division 1,2305048 Maint. of Intactwell,100000
483,505102 Narmada Division 1,2305076 Maint. Of Building,800000
484,505102 Narmada Division 1,2305080 work at Devdharam Filter Plant,500000
485,505102 Narmada Division 1,2305081 Maint. Of Bilawali Filter Plant,50000
486,505102 Narmada Division 1,2305083 Exp. at Devdharam Filter Plant,1000000
487,505102 Narmada Division 1,2305086 Expenditure On Previous Year Devlopment Works,1500000
488,505102 Narmada Division 1,2305089 Purchase of Valve,1000000
489,505102 Narmada Division 1,2305112 Maint. Of Plant and Machinery Intakewell,4000000
490,505102 Narmada Division 1,2305113 Maint. of Plant & Machinery of Pumphouse No. 2,2500000
491,505102 Narmada Division 1,2305114 Maint. of Plant & Machinery of Pumphouse No. 3,2500000
492,505102 Narmada Division 1,2305115 Maint. of Plant & Machinery of Pumphouse No. 4,2500000
493,505102 Narmada Division 1,2305116 Maint. of Plant & Machinery of Pumphouse No. 5,2500000
494,505102 Narmada Division 1,2305117 Maint of Electrical Equipment,2500000
495,505102 Narmada Division 1,2305118 Maint of Spare Parts,500000
496,505102 Narmada Division 1,2305119 Maint of Pipeline of Pumphouse No.1,300000
497,505102 Narmada Division 1,2305120 Maint. of Intakewell Bridge and Pumphouse,200000
498,505102 Narmada Division 1,2305122 Maint. of Retaining Wall,2000000
499,505102 Narmada Division 1,2305123 Maint. of Clear Water Pump,2000000
500,505102 Narmada Division 1,2305124 Maint of Panels and Cables,500000
501,505102 Narmada Division 1,2305125 Maint. of Pipeline B.P. Tank,1000000
502,505102 Narmada Division 1,2305126 Spares for Raw Water Pump,4000000
503,505102 Narmada Division 1,2305127 Spares For Clear Water Pump,1000000
504,505102 Narmada Division 1,2305128 Tools for T & P Machinery,500000
505,505102 Narmada Division 1,2305129 Purchase of Battries,100000
506,505102 Narmada Division 1,2305135 Purchase of Capacitor,1000000
507,505102 Narmada Division 1,2305136 Vehicle Rent,50000
508,505102 Narmada Division 1,2305137 Tender Publishing Exp,1000000
509,505102 Narmada Division 1,2305140 Maint of Water Purification Plant,3000000
510,505102 Narmada Division 1,2305209 Employees' Quarters,2000000
511,505102 Narmada Division 1,2305215 Maint.Of Building,1500000
512,505102 Narmada Division 1,2305301 Maint of Vehicles (Motor Car),2500000
513,505102 Narmada Division 1,2305512 Laboratory Equipment,200000
514,505102 Narmada Division 1,2305905 Fire Fighting Equipments,100000
515,505102 Narmada Division 1,2305907 Maint Of Telephone and Wireless,400000
516,505102 Narmada Division 1,2305908 Spare Parts and Consumables,2500000
517,505102 Narmada Division 1,2308013 Chemicals and other Goods,3500000
518,505102 Narmada Division 1,4102006 Constrn. of Staff Quarters,1500000
519,505102 Narmada Division 1,4103216 Gradation of RAO/Bilawli Channel,200000
520,505102 Narmada Division 1,4103218 Construction on Sirpur Talab,100000
521,505102 Narmada Division 1,4105001 Purchase of Vehicles/Motor Car,1000000
522,505102 Narmada Division 1,4106002 Purchase of Computers/Peripherals,200000
523,505102 Narmada Division 1,4106008 Purchase of Fire Fighting Equipments,100000
524,505102 Narmada Division 1,4106014 Purchase of Transformer,3500000
525,505102 Narmada Division 1,4106015 Purchase of Electrical Motors,200000
526,505102 Narmada Division 1,4106016 Purchase of Onload Tape Changer,1000
527,505102 Narmada Division 1,4106017 Purchase of Voltage Protection System,200000
528,505102 Narmada Division 1,4106019 Relay Tarriff Meter,1000
529,505103 Narmada Division 2,2101001 Salaries & Allowances,93800000
530,505103 Narmada Division 2,2101024 Payment to temporary labour on high level tanks,15000000
531,505103 Narmada Division 2,2201101 Electricity Charges - Office,10000000
532,505103 Narmada Division 2,2201201 Telephone expenses,1000000
533,505103 Narmada Division 2,2201221 Postage/Courier expenses,10000
534,505103 Narmada Division 2,2202101 Printing expenses,300000
535,505103 Narmada Division 2,2203005 Travelling and Conveyance - Staff,100000
536,505103 Narmada Division 2,2206002 Tenders Advertisement Expenses,700000
537,505103 Narmada Division 2,2206041 Workshop and Seminars,50000
538,505103 Narmada Division 2,2208051 Miscellaneous expenses,300000
539,505103 Narmada Division 2,2208511 Expenses on General Survey,500000
540,505103 Narmada Division 2,2208522 Expenses on Water Meters,500000
541,505103 Narmada Division 2,2303008 Stores & Spares for Water Distribution,5000000
542,505103 Narmada Division 2,2304001 Hire Charges of Light Vehicles,300000
543,505103 Narmada Division 2,2305009 Culverts/Small Bridges,300000
544,505103 Narmada Division 2,2305016 Maint. of City Distribution Pipeline,10000000
545,505103 Narmada Division 2,2305017 Maint. of Main Trunk Pipeline,8000000
546,505103 Narmada Division 2,2305018 Maint. of Main Trunk,8000000
547,505103 Narmada Division 2,2305019 Purchase Of Electrical Equipments,500000
548,505103 Narmada Division 2,2305020 Change of Old Pipeline,10000000
549,505103 Narmada Division 2,2305024 Water Reservoirs (Overhead Tanks),7500000
550,505103 Narmada Division 2,2305033 Maint of Transformer,700000
551,505103 Narmada Division 2,2305035 Electric Sub-Station,200000
552,505103 Narmada Division 2,2305046 Maint of B.P.Tank,1000000
553,505103 Narmada Division 2,2305047 Maint. of Roads,2000000
554,505103 Narmada Division 2,2305086 Expenditure On Previous Year Devlopment Works,10000000
555,505103 Narmada Division 2,2305209 Employees' Quarters,1000000
556,505103 Narmada Division 2,2305211 Maint of Office Building,2000000
557,505103 Narmada Division 2,2305214 Maint of Rao Sumpwell,1000000
558,505103 Narmada Division 2,2305301 Maint of Vehicles (Motor Car),1500000
559,505103 Narmada Division 2,2305401 Maint. of Furniture /Fixtures,100000
560,505103 Narmada Division 2,2305512 Laboratory Equipment,500000
561,505103 Narmada Division 2,2305906 Maint. of Office Equipment,300000
562,505103 Narmada Division 2,2305907 Maint Of Telephone and Wireless,200000
563,505103 Narmada Division 2,2305908 Spare Parts and Consumables,500000
564,505103 Narmada Division 2,2308013 Chemicals and other Goods,5000000
565,505103 Narmada Division 2,2308014 Emergency Repairs,1000000
566,505103 Narmada Division 2,2403003 Interest on HUDCO Lona For Overhead Tank (Old Tank),15000000
567,505103 Narmada Division 2,2403004 Interest on HUDCO Lona For Overhead Tank (New),3500000
568,505103 Narmada Division 2,2403005 Interest on Army Loan,2000000
569,505103 Narmada Division 2,3312003 Repayment Of HUDCO Loan (Tanks Part 2),7500000
570,505103 Narmada Division 2,3312004 Repayment of Army Loan,4000000
571,505103 Narmada Division 2,3312005 Repayment of Loan - Sukhlia Water Tank & Khatiwala Tank,5500000
572,505103 Narmada Division 2,3312006 Repayment of Loan - For Overhead Tank ( Old Water Tank),5500000
573,505103 Narmada Division 2,4103204 Water Reservoirs (Overhead),2500000
574,505103 Narmada Division 2,4103205 New Water Pipe Lines,15000000
575,505103 Narmada Division 2,4103223 New Overhead Tank - Bada Ganpati,15000000
576,505103 Narmada Division 2,4103224 New Overhead Tank - Nanda nagar/ Pipe line Exp.,2000000
577,505103 Narmada Division 2,4103225 New Overhead Tank - Chandan Nagar,20000000
578,505103 Narmada Division 2,4103226 New Overhead Tank - Khajrana and other Part -2,15000000
579,505103 Narmada Division 2,4103227 New Overhead Tank & Other works - Khatiwala Tank,2500000
580,505103 Narmada Division 2,4103228 New Overhead Tank - Other Work Sch. No. 54/74,10000000
581,505103 Narmada Division 2,4103229 New Overhead Tank - Chhatribagh,2500000
582,505103 Narmada Division 2,4103231 Renovation of Damage Pipe Line,10000000
583,505103 Narmada Division 2,4103232 Management of Bilawali Filter Plant,4000000
584,505103 Narmada Division 2,4103233 Operation and Maintanance of 12 M.L.D. STP & MPS Allied Works at Kabit Khedi,3000000
585,505103 Narmada Division 2,4104015 Supply and Installation of Elctro Magnetic and bulk Meter,200000
586,505103 Narmada Division 2,4104043 Operation and Maint. of 78 Mld STP & MPS & Allied Works at kabir khedi,7000000
587,505103 Narmada Division 2,4106002 Purchase of Computers/Peripherals,250000
588,505103 Narmada Division 2,4106008 Purchase of Fire Fighting Equipments,300000
589,505103 Narmada Division 2,4106011 Purchase of Office Equipment,100000
590,505103 Narmada Division 2,4107001 Purchase of Furniture,300000
591,505104 Water Supply,2101001 Salaries & Allowances,37000000
592,505104 Water Supply,2101021 Wages (Muster Workers),1800000
593,505104 Water Supply,2201221 Postage/Courier expenses,50000
594,505104 Water Supply,2202101 Printing expenses,200000
595,505104 Water Supply,2203005 Travelling and Conveyance - Staff,100000
596,505104 Water Supply,2205107 License Fees/Renewal of Licenses,50000
597,505104 Water Supply,2205108 Fee For Renewal of License of Devdharam Filter Plant,50000
598,505104 Water Supply,2206041 Workshop and Seminars,200000
599,505104 Water Supply,2208051 Miscellaneous expenses,500000
600,505104 Water Supply,2208051 Miscellaneous expenses,500000
601,505104 Water Supply,2302002 Emergency Water Supply,12000000
602,505104 Water Supply,2304006 Hire Charges of Water Tankers,60000000
603,505104 Water Supply,2305014 Manholes,200000
604,505104 Water Supply,2305021 Water ways (Distribution Pipes),11000000
605,505104 Water Supply,2305021 Water ways (Distribution Pipes),4800000
606,505104 Water Supply,2305023 Rain Water Harvesting (Water Recharging),300000
607,505104 Water Supply,2305024 Water Reservoirs (Overhead Tanks),1000000
608,505104 Water Supply,2305025 Water Standposts,100000
609,505104 Water Supply,2305026 Platform for Water Standposts,100000
610,505104 Water Supply,2305033 Maint of Transformer,2500000
611,505104 Water Supply,2305042 Maint of Impelor,600000
612,505104 Water Supply,2305044 Grant from State Government for Water Problem Exp.,90000000
613,505104 Water Supply,2305078 Purchase of Impelor,1500000
614,505104 Water Supply,2305079 Constration Work at Yeshwant Sagar/ other work expenses,1500000
615,505104 Water Supply,2305082 Maint. Of Pumpinig at Yashwant Sagar,2500000
616,505104 Water Supply,2305084 Maint Of Machinery at Devdharam,800000
617,505104 Water Supply,2305085 Maint.of Machine Fulkalaria,500000
618,505104 Water Supply,2305086 Expenditure On Previous Year Devlopment Works,20000000
619,505104 Water Supply,2305087 Publicity for Water Recharging,200000
620,505104 Water Supply,2305089 Purchase of Valve,1000000
621,505104 Water Supply,2305090 Exp. On Maintains of Bilawli Filter Plant,100000
622,505104 Water Supply,2305091 Jal Abhishek and other place Water Recharging Exp,6000000
623,505104 Water Supply,2305092 Water Recharging Expenses - Public Places,300000
624,505104 Water Supply,2305093 Maint. of Typewriter / Photocopy Machine,100000
625,505104 Water Supply,2305094 Water Recharging Exp - School Buildings,500000
626,505104 Water Supply,2305096 Water Recharging Exp. Govt. Buildings,300000
627,505104 Water Supply,2305097 Water Recharging Exp - Gardens,1500000
628,505104 Water Supply,2305098 Water Recharging Exp. Corp. Buildings,300000
629,505104 Water Supply,2305099 Identification of Recharging Acquifier Zone,500000
630,505104 Water Supply,2305102 Lakes & Ponds,1000000
631,505104 Water Supply,2305175 Maint. of Bilawali and Limodi Takab,1000000
632,505104 Water Supply,2305199 Maintenance of parks Developed by Municipal corporation,1000000
633,505104 Water Supply,2305310 Maint. of Boats at Crossing,200000
634,505104 Water Supply,"2305904 Maintenance of Pumping at 27"" Gravitation",2000000
635,505104 Water Supply,2305905 Fire Fighting Equipments,300000
636,505104 Water Supply,2308006 RCC Syphons,1000000
637,505104 Water Supply,2308011 Chemicals - Chlorine,1000000
638,505104 Water Supply,2308012 Camicals - Bleaching & Others,300000
639,505104 Water Supply,2308098 Chemical - Alum,1500000
640,505104 Water Supply,2502007 Picnics/Functions for School Children,100000
641,505104 Water Supply,2502024 Exhibition & Social Works,100000
642,505104 Water Supply,2718094 Rent of Railway pipe line(w),50000
643,505104 Water Supply,4101003 Boundary Walls,3000000
644,505104 Water Supply,4102097 Purchase of Naav At Devdharam,400000
645,505104 Water Supply,4102098 Constration of Store Room at Devdharam,900000
646,505104 Water Supply,4103205 New Water Pipe Lines,10000000
647,505104 Water Supply,4103209 New Pipeline At New Colonies,5000000
648,505104 Water Supply,4103210 Exp. On Water Supply Pipe line and Maintenance Work at zone (parshad fund),34500000
649,505104 Water Supply,4103211 Exp on Water supply pipe line and Maintenance work at zone (Mayor Fund),12000000
650,505104 Water Supply,4103212 New Water Pipe line (Slum Area),5000000
651,505104 Water Supply,4103214 Laying of Pipe line (Jan sahayog) Public Contri.,500000
652,505104 Water Supply,4103215 Machinery for Recovery of Water Tax,200000
653,505104 Water Supply,4103217 Enhancement of Water Storage Capacity (VABCOS),2500000
654,505104 Water Supply,4104007 Pumps for Cleaning Well,100000
655,505104 Water Supply,4106011 Purchase of Office Equipment,500000
656,505104 Water Supply,4106012 Purchase of Pumpset,2000000
657,505105 Tubewell,2101001 Salaries & Allowances,8886000
658,505105 Tubewell,2201221 Postage/Courier expenses,10000
659,505105 Tubewell,2202101 Printing expenses,100000
660,505105 Tubewell,2203005 Travelling and Conveyance - Staff,50000
661,505105 Tubewell,2208051 Miscellaneous expenses,50000
662,505105 Tubewell,2208511 Expenses on General Survey,200000
663,505105 Tubewell,2305022 Borewell/Open wells,100000
664,505105 Tubewell,2305027 Tubewells and Handpumps,100000
665,505105 Tubewell,2305043 Fire Hydrants,10000000
666,505105 Tubewell,"2305054 Maint. of Tubewell, Handpump and Sumpwell",30000000
667,505105 Tubewell,2305055 Cleaning of Wells,1500000
668,505105 Tubewell,2305056 Cleaning of Tubewell Pump,100000
669,505105 Tubewell,2305057 Exp on Rewinding of Tubewell Pump,100000
670,505105 Tubewell,2305058 Maint. of Elec. Fittings and Openwell Pump,100000
671,505105 Tubewell,2305059 Conducting of Survey of Pvt. Tubewell,100000
672,505105 Tubewell,2305060 Maint. of Handpump,100000
673,505105 Tubewell,2305401 Maint. of Furniture /Fixtures,100000
674,505105 Tubewell,4103203 Tube Wells,100000
675,505105 Tubewell,4103219 Purchase Of G.I. Pipe For New Tubewell,100000
676,505105 Tubewell,4103220 Purchase Of Pumpset For Jansahyog Tubewell,1000000
677,505105 Tubewell,4103221 New Tubewells & Machines (Slum Area),2000000
678,505105 Tubewell,4103222 Additional Source of New Hydrade,15000000
679,505105 Tubewell,4106011 Purchase of Office Equipment,50000
680,505105 Tubewell,4106012 Purchase of Pumpset,100000
681,505105 Tubewell,4107001 Purchase of Furniture,100000
682,505105 Tubewell,4107008 Purchase of Sintex water tank (Tube well Department ),5000000
683,505105 Tubewell,4107009 Annual Exp for Maintenance of tube well,10000000
684,505105 Tubewell,4122091 Expenses from MLA Fund,2500000
685,505105 Tubewell,4122099 Expenses From Member of Parliament Fund,5000000
686,505201 Drainage Department,2101001 Salaries & Allowances,16500000
687,505201 Drainage Department,2101021 Wages (Muster Workers),200000
688,505201 Drainage Department,2201221 Postage/Courier expenses,5000
689,505201 Drainage Department,2202101 Printing expenses,200000
690,505201 Drainage Department,2203005 Travelling and Conveyance - Staff,50000
691,505201 Drainage Department,2208051 Miscellaneous expenses,500000
692,505201 Drainage Department,2208052 General Repair and Maint.,1000000
693,505201 Drainage Department,2208511 Expenses on General Survey,100000
694,505201 Drainage Department,2303009 Equipments for Health and Safety in Drainage Works,800000
695,505201 Drainage Department,2305011 Underground Drains (Sewer Pipes Network),35000000
696,505201 Drainage Department,2305077 White Washing of Urinals,1800000
697,505201 Drainage Department,2305121 Public Toilets,1200000
698,505201 Drainage Department,2305190 Fee for renewal of License of Low Level Pump Station,5000
699,505201 Drainage Department,2305191 Maint.of Chambers,3000000
700,505201 Drainage Department,2305192 Maint. of Low Lavel Pumping Station,1000
701,505201 Drainage Department,2305193 Const. of Storm Water Rain,2400000
702,505201 Drainage Department,2305194 Exp. on Covering of Main Holes,3600000
703,505201 Drainage Department,2305195 Exp. on Raising of Main Holes,2400000
704,505201 Drainage Department,2718093 Water Tax to M.P.S. Pollution Control,1000
705,505201 Drainage Department,2718094 Rent of Railway pipe line(w),100000
706,505201 Drainage Department,3303001 Repayment of HUDCO Loan,1000
707,505201 Drainage Department,4102020 Const. Public Toilets,3000000
708,505201 Drainage Department,4102021 New Public Toilets in Slum Area,1200000
709,505201 Drainage Department,4103103 Sewer Pipes,60000000
710,505201 Drainage Department,4103104 Storm Water Gutters,2000000
711,505201 Drainage Department,4103106 New Sewer Line - Slum Areas,10000000
712,505201 Drainage Department,4103107 New Sewer Line - Jan Sahyog,45000000
713,505201 Drainage Department,4104008 Manhole Mud Remover Machine,6000000
714,505201 Drainage Department,"4106013 Purchase of Machine, Sewerline",500000
715,505201 Drainage Department,4123004 Share of IMC (Sulabh Complex),8000000
716,606101 Garden Department,2101001 Salaries & Allowances,35000000
717,606101 Garden Department,2101021 Wages (Muster Workers),6500000
718,606101 Garden Department,2201221 Postage/Courier expenses,10000
719,606101 Garden Department,2202101 Printing expenses,50000
720,606101 Garden Department,2203005 Travelling and Conveyance - Staff,10000
721,606101 Garden Department,2208051 Miscellaneous expenses,100000
722,606101 Garden Department,2208545 Expenses on Plantations on Pitra Parvat,500000
723,606101 Garden Department,2305049 Vehicle Hire Rent JCB/Other,600000
724,606101 Garden Department,2305050 Maint of Quarters,25000
725,606101 Garden Department,2305104 Swimming Pool Mhow Naka,300000
726,606101 Garden Department,"2305110 Dev. of Pakshi Vihar/ Bird Sanctuaries, Aquariums",300000
727,606101 Garden Department,2305153 Exp for Maintenance Of garden By R.W.A./Mohalla samiti,2500000
728,606101 Garden Department,2305178 Maint of Swimming Pool - Nehru Park,300000
729,606101 Garden Department,2305179 Exp. on Beautification of Sqr (Main),2000000
730,606101 Garden Department,2305180 Maint. of Bijasan Garden,300000
731,606101 Garden Department,2305181 Maint. of Deen Dayal Garden,500000
732,606101 Garden Department,2305182 Maint. of Sirpur Garden,50000
733,606101 Garden Department,2305183 Maint. of Pipliyapala Garedn,1000
734,606101 Garden Department,2305184 Maint. of Nehru park,1000000
735,606101 Garden Department,2305185 Meghdoot Garden - Labor and Security Expenses,4000000
736,606101 Garden Department,2305186 Maint. of Meghdoot Garden & Bharatmata Temple Garden,500000
737,606101 Garden Department,2305187 Exp. on Plantation on Parinay Project,10000
738,606101 Garden Department,2305188 Exp. on Plantation on Pitra Parvat,10000
739,606101 Garden Department,2305189 Maint of Garden & Picnic Spots,5000000
740,606101 Garden Department,4101008 Swimming Pool,1000000
741,606101 Garden Department,4101009 Dev. Of Pitra Parvat,1000000
742,606101 Garden Department,4101010 Dev. of Nehru Park,1000000
743,606101 Garden Department,4101011 Dev. of Bijasan,20000000
744,606101 Garden Department,4101012 Plantation on Govt. Land,2500000
745,606101 Garden Department,4101029 Construction of Entertainment Place Near Sirpur talab (Appu Ghar and Other,1500000
746,606101 Garden Department,4105011 Purchase of JCB/Truck / Tractar/ Water tank,1000
747,606101 Garden Department,4106011 Purchase of Office Equipment,50000
748,606101 Garden Department,4107001 Purchase of Furniture,100000
749,606501 Zoo Department,2101001 Salaries & Allowances,6500000
750,606501 Zoo Department,2201221 Postage/Courier expenses,10000
751,606501 Zoo Department,2202101 Printing expenses,10000
752,606501 Zoo Department,2203005 Travelling and Conveyance - Staff,50000
753,606501 Zoo Department,2208051 Miscellaneous expenses,50000
754,606501 Zoo Department,2303010 Stores for Zoo/Sanctuaries,3000000
755,606501 Zoo Department,2303011 Stores for Medicine Consumption,3500000
756,606501 Zoo Department,2303013 Exp. On Food for Animal,1500000
757,606501 Zoo Department,2303014 Exp. On Green Grass For Animals,900000
758,606501 Zoo Department,2303015 Exp. on Dry Grass For Animal,400000
759,606501 Zoo Department,2305109 Zoos (including maintenance of cages),500000
760,606501 Zoo Department,2305138 Training & Education of Zoo Staff,50000
761,606501 Zoo Department,2305139 Maint. of Cages For Animal Security,500000
762,606501 Zoo Department,2305143 Moveable Cages For Animal,400000
763,606501 Zoo Department,2305144 Exp. on Security Guard Arrangement,1000000
764,606501 Zoo Department,2305145 Maintenance of Fishhome,500000
765,606501 Zoo Department,2305146 Maintenance of Cages and other,1000000
766,606501 Zoo Department,4101013 Purchase of New Animal,1000000
767,606501 Zoo Department,4101014 Exp. on Equipment For Vetarny Hospital,1500000
768,606501 Zoo Department,4101015 Construction of Elephant Cage,500000
769,606501 Zoo Department,4101016 Constriction of Wall – B.T.R.S,5000000
770,606501 Zoo Department,4101017 Constriction of Entry Plaza,5000000
771,606501 Zoo Department,4102016 Aquariums and Cages at Zoo,1500000
772,606501 Zoo Department,4106011 Purchase of Office Equipment,50000
773,606501 Zoo Department,4123002 Dev. Of Zoo (C.Z A ),20000000
774,707301 Urban Poverty Alleviation,2101001 Salaries & Allowances,4000000
775,707301 Urban Poverty Alleviation,2201221 Postage/Courier expenses,400000
776,707301 Urban Poverty Alleviation,2202101 Printing expenses,500000
777,707301 Urban Poverty Alleviation,2203005 Travelling and Conveyance - Staff,100000
778,707301 Urban Poverty Alleviation,2208051 Miscellaneous expenses,200000
779,707301 Urban Poverty Alleviation,2305148 Misc. Civil Office Repairs,100000
780,707301 Urban Poverty Alleviation,2305150 Photo copy Exp.,100000
781,707301 Urban Poverty Alleviation,2501006 Exp. For Opening Balance of Account Post Office of Citizen for National Old Age / Social Security Pension,2000000
782,707301 Urban Poverty Alleviation,4102088 Expenditure from NSDP,5000000
783,707301 Urban Poverty Alleviation,4106002 Purchase of Computers/Peripherals,300000
784,707301 Urban Poverty Alleviation,4107001 Purchase of Furniture,500000
785,707301 Urban Poverty Alleviation,4123012 Digging of Tubewells (NSDP),100000
786,707301 Urban Poverty Alleviation,4123013 Laying of Water Pipeline (NSDP),100000
787,707301 Urban Poverty Alleviation,4123014 Const. of Road (NSDP),100000
788,808101 Street Lights Section,2101001 Salaries & Allowances,7000000
789,808101 Street Lights Section,2201221 Postage/Courier expenses,10000
790,808101 Street Lights Section,2202101 Printing expenses,100000
791,808101 Street Lights Section,2203005 Travelling and Conveyance - Staff,50000
792,808101 Street Lights Section,2205021 Energy Auditors,100000
793,808101 Street Lights Section,2206041 Workshop and Seminars,100000
794,808101 Street Lights Section,2208051 Miscellaneous expenses,50000
795,808101 Street Lights Section,2301002 Maint. of Street lighting,60000000
796,808101 Street Lights Section,2301010 Electric Exp. on New Tube well Connection,1500000
797,808101 Street Lights Section,2301011 Electricity Expenses for Tube Well,60000000
798,808101 Street Lights Section,2301013 Corporate buildings / electricity costs of school buildings,10000000
799,808101 Street Lights Section,2301014 Electricity Expenses - MPSEB - Zonal offices,1000000
800,808101 Street Lights Section,2301015 Electricity Expenses - MPSEB - Yashwant Sagar Devdharam,12000000
801,808101 Street Lights Section,2301016 Electricity Expenses - MPSEB - Bilawali,400000
