Srno,Department,Budget Head,Allocation
395,202701 Public Works,4103036 Const. Roads in Safai Kamgar/Urban poor colony,170000000
396,202701 Public Works,4103038 Const. of Road work at Zone(parshad),158236000
397,202701 Public Works,4103039 Const. of Road work at Zone(Mayor),39990000
398,202701 Public Works,4103067 Development of Ring Road,50000000
399,202701 Public Works,4103094 Ravindra Natya development / expenditure for other functions,10000
400,202701 Public Works,4103096 City Road - Metal,20000000
401,202701 Public Works,4103097 City Road - Cement concrete,180000000
402,202701 Public Works,4103098 Acquisition of Land and Building Due to Road Widening,5000000
403,202701 Public Works,4103099 City Road - Butuman,150000000
404,202701 Public Works,4103102 Const. of Water Storm Drain of Zonal Roads Except Bond Road,100000000
405,202701 Public Works,4104042 Purchase of Equip.for atikraman Removal of Encroachment,2000000
406,202701 Public Works,4106002 Purchase of Computers/Peripherals,500000
407,202701 Public Works,4106011 Purchase of Office Equipment,500000
408,202701 Public Works,4108001 Nandanagar Infrastructure Dev.,100000
409,202701 Public Works,4108002 Beautification and other Civic works on pitra parwat and Bijasan Tekari,2500000
410,202701 Public Works,4108003 Exp on Development of Harsidhi/Chhatribagh/Gangaurghat,2500000
411,202701 Public Works,4108007 Development of Atal Sports Complex,20000000
412,202701 Public Works,4108013 Development on nahar bhandara Lake,10000000
413,202701 Public Works,4108023 Chief Minister Infrastructure Development Expenditure (Road Beautification & Other Work),400000000
414,202701 Public Works,4108052 Exp. on Development of ST/SC Area,240000000
415,202701 Public Works,4108072 Building Permission automation,1000000
416,202701 Public Works,4108087 Project Monitoring/ Consulting/ Skupervision Charges,3000000
417,202701 Public Works,4122090 Exp. form State Education Center,20000000
418,202701 Public Works,4122091 Expenses from MLA Fund,5000000
419,202701 Public Works,4122099 Expenses From Member of Parliament Fund,5000000
420,202701 Public Works,4123005 Construction of Administrative Building of Municipal Corporation ( I Phase),5000000
421,202701 Public Works,4123006 Construction of Hawkers Zone,20000000
422,202701 Public Works,4123007 Construction of yaswant Sagar Cow Shed,15000000
423,202701 Public Works,4123008 Residential Building of Employee,100000
424,202701 Public Works,4123009 Construction of Night Shelter,50000000
425,202701 Public Works,4123010 Construction of Community Hall in Colonies,20000000
426,202701 Public Works,4123016 Construction of Community Hall ( Safai karmchari / Slum Areas),15000000
427,202701 Public Works,4123017 Construction of New Vegetable Market,5000000
428,303101 Public Health Department,2101001 Salaries & Allowances,350000000
429,303101 Public Health Department,2101021 Wages (Muster Workers),200000000
430,303101 Public Health Department,2101022 Seasonal and Urgent Works,60000000
431,303101 Public Health Department,2201221 Postage/Courier expenses,1000
432,303101 Public Health Department,2202101 Printing expenses,200000
433,303101 Public Health Department,2203005 Travelling and Conveyance - Staff,100000
434,303101 Public Health Department,2204002 Exp. for Vehicle Insurance,5000000
435,303101 Public Health Department,2206041 Workshop and Seminars,1000000
436,303101 Public Health Department,2208051 Miscellaneous expenses,200000
437,303101 Public Health Department,2208507 Survey for Health Work,500000
438,303101 Public Health Department,2208530 Expenses for Clearing Grass/Weeds,750000
439,303101 Public Health Department,2208536 Prevention of Deseases,1000000
440,303101 Public Health Department,2208543 Expenses on Health Camps,800000
441,303101 Public Health Department,2208548 Health Campus at Backward Areas,750000
442,303101 Public Health Department,2208549 Exp. on Education of Safai Kamgar Children,5000000
443,303101 Public Health Department,2208551 Milk at Jhoola Ghar for Children of Safai kamgar,200000
444,303101 Public Health Department,2303050 Exp. On Kachra Peti,500000
445,303101 Public Health Department,2303053 Swanon binding and vaccination of stray and other expenses,300000
446,303101 Public Health Department,2501003 Dr. Shyama Prasad Mukherjee Accidental Insurance Scheme (For Citizens of Indore),3000000
447,303101 Public Health Department,2501005 Participation in National Health Program,100000
448,303101 Public Health Department,2501009 Expenses on Working of Shri Kushabhau Thackrey Health Centre,1000000
449,303101 Public Health Department,4102018 Const. of Meat Selling Shop,20000000
450,303101 Public Health Department,4102035 Construction of Attendance Centres at Wards,10000000
451,303101 Public Health Department,4105009 Dog Catching Vehicle,3000000
452,303101 Public Health Department,4105017 Purchase of Vehicle,60000000
453,303101 Public Health Department,4106002 Purchase of Computers/Peripherals,500000
454,303102 Public Health Department,2208553 Removal of Pigs,100000
455,303102 Public Health Department,2303097 Insecticides for Mosquitos,20000000
456,404101 Solid Waste Management,4101002 Land Development Cost(Treching ground),2000000
457,404101 Solid Waste Management,4101006 Landfill Site (Trenching Ground),10000000
458,404101 Solid Waste Management,4101092 Const. of Temp. Trenching Ground(Waste Transfer Station),50000000
459,404101 Solid Waste Management,4102008 Construction of Pig-Houses,1500000
460,404101 Solid Waste Management,4104003 Cleaning Equipments,40000000
461,404101 Solid Waste Management,4108021 Purchase of Dumpsters,20000000
462,404102 Landfill Sites Management,2208521 Expenses for Weighing of Garbage,2000000
463,404102 Landfill Sites Management,2208541 Expenses for Removing of Dead Bodies,100000
464,404102 Landfill Sites Management,2208550 Exp. on Sanitary Traning to Safai kamgar,200000
465,404102 Landfill Sites Management,2208552 Mobile Van Magistrate Exp.,600000
466,404102 Landfill Sites Management,2303051 Cleaning Material,20000000
467,404102 Landfill Sites Management,2304008 Kachra Transportation Exp.,80000000
468,404102 Landfill Sites Management,2305051 Garbage Collection Points,3000000
469,404102 Landfill Sites Management,2305053 Wheel Barrows (Hath Gadi),750000
470,404102 Landfill Sites Management,2308034 Door to Door Waste Collection (Scheme) Expenses,20000000
471,404102 Landfill Sites Management,4105004 Trucks (Lorries and Dumpers),10000000
472,404102 Landfill Sites Management,4105010 Wheel Barrows,20000000
473,404103 Street Watering & Cleaning,2201004 Rent - Slaughter House,100000
474,404103 Street Watering & Cleaning,2303095 Water Purification Bleaching Powder,3000000
475,404103 Street Watering & Cleaning,2503004 Expenditure on residents Sandho award for cleaning up,5000000
476,505102 Narmada Division 1,2201121 Security Arrangement Exp,6000000
477,505102 Narmada Division 1,2201221 Postage/Courier expenses,15000
478,505102 Narmada Division 1,2202101 Printing expenses,400000
479,505102 Narmada Division 1,2206102 Fee For Renewal of Narmada Sch. Pumping Station,400000
480,505102 Narmada Division 1,2208051 Miscellaneous expenses,500000
481,505102 Narmada Division 1,2301001 Electricity Exp Narmada Connection/Water Works,1280000000
482,505102 Narmada Division 1,2302003 Water Meter Maintenance,1500000
483,505102 Narmada Division 1,2302004 Intake Well - Capacity 900 mld maintenance,3500000
484,505102 Narmada Division 1,2302005 Water Treatment Plant - Capacity363 mld,6000000
485,505102 Narmada Division 1,2305001 Land Boundaries & Fences,12500000
486,505102 Narmada Division 1,2305033 Maint of Transformer,2000000
487,505102 Narmada Division 1,2305046 Maint of B.P.Tank,200000
488,505102 Narmada Division 1,2305047 Maint. of Roads,20000000
489,505102 Narmada Division 1,2305048 Maint. of Intactwell,100000
490,505102 Narmada Division 1,2305112 Maint. Of Plant and Machinery Intakewell,8000000
491,505102 Narmada Division 1,2305116 Maint. of Plant & Machinery of Pumphouse No. 5,22000000
492,505102 Narmada Division 1,2305117 Maint of Electrical Equipment,1500000
493,505102 Narmada Division 1,2305118 Maint of Spare Parts,2000000
494,505102 Narmada Division 1,2305119 Maint of Pipeline of Pumphouse No.1,7000000
495,505102 Narmada Division 1,2305120 Maint. of Intakewell Bridge and Pumphouse,50000
496,505102 Narmada Division 1,2305122 Maint. of Retaining Wall,5000000
497,505102 Narmada Division 1,2305123 Maint. of Clear Water Pump,10000000
498,505102 Narmada Division 1,2305124 Maint of Panels and Cables,2000000
499,505102 Narmada Division 1,2305125 Maint. of Pipeline B.P. Tank,1500000
500,505102 Narmada Division 1,2305126 Spares for Raw Water Pump,35000000
501,505102 Narmada Division 1,2305127 Spares For Clear Water Pump,25000000
502,505102 Narmada Division 1,2305128 Tools for T & P Machinery,300000
503,505102 Narmada Division 1,2305129 Purchase of Battries,500000
504,505102 Narmada Division 1,2305135 Purchase of Capacitor,2000000
505,505102 Narmada Division 1,2305136 Vehicle Rent,75000
506,505102 Narmada Division 1,2305137 Tender Publishing Exp,1000000
507,505102 Narmada Division 1,2305140 Maint of Water Purification Plant,5000000
508,505102 Narmada Division 1,2305169 Maintanence expenditure of Pipeline Intekwell to B.P. tank expenditure,5000000
509,505102 Narmada Division 1,2305209 Employees' Quarters,3000000
510,505102 Narmada Division 1,2305215 Maint.Of Building,2000000
511,505102 Narmada Division 1,2305301 Maint of Vehicles (Motor Car),3000000
512,505102 Narmada Division 1,2305512 Laboratory Equipment,1100000
513,505102 Narmada Division 1,2305604 132 KV Sub-Stations,6000000
514,505102 Narmada Division 1,2305605 Clear Water Pumping Station - 3 Nos. & Elect. Sub- Stations,6000000
515,505102 Narmada Division 1,2305905 Fire Fighting Equipments,300000
516,505102 Narmada Division 1,2305907 Maint Of Telephone and Wireless,400000
517,505102 Narmada Division 1,2305908 Spare Parts and Consumables,3000000
518,505102 Narmada Division 1,2308009 Other Maintenance Exp.,3500000
519,505102 Narmada Division 1,2308013 Chemicals and other Goods,8000000
520,505102 Narmada Division 1,4102006 Constrn. of Staff Quarters,500000
521,505102 Narmada Division 1,4103293 Pipeline Expenditure for old Intekwell to New Intekwell Connectivity,5000000
522,505102 Narmada Division 1,4104022 High Voltage Electric Motor Purchase Exp.,10000000
523,505102 Narmada Division 1,4105001 Purchase of Vehicles/Motor Car,1500000
524,505102 Narmada Division 1,4106002 Purchase of Computers/Peripherals,250000
525,505102 Narmada Division 1,4106008 Purchase of Fire Fighting Equipments,100000
526,505102 Narmada Division 1,4106014 Purchase of Transformer,3500000
527,505102 Narmada Division 1,4106015 Purchase of Electrical Motors,200000
528,505102 Narmada Division 1,4106016 Purchase of Onload Tape Changer,1000
529,505102 Narmada Division 1,4106017 Purchase of Voltage Protection System,200000
530,505103 Narmada Division 2,2101024 Payment to temporary labour on high level tanks,70000000
531,505103 Narmada Division 2,2201101 Electricity Charges - Office,6000000
532,505103 Narmada Division 2,2201106 Office Expenditure of Circle Office,500000
533,505103 Narmada Division 2,2201201 Telephone expenses,2000000
534,505103 Narmada Division 2,2201221 Postage/Courier expenses,20000
535,505103 Narmada Division 2,2202101 Printing expenses,500000
536,505103 Narmada Division 2,2202102 Stationery,400000
537,505103 Narmada Division 2,2203005 Travelling and Conveyance - Staff,100000
538,505103 Narmada Division 2,2205222 Plan of water supply lines Suddhdikrn DPR Expenditure on R to,1000000
539,505103 Narmada Division 2,2206002 Tenders Advertisement Expenses,4000000
540,505103 Narmada Division 2,2206041 Workshop and Seminars,50000
541,505103 Narmada Division 2,2208051 Miscellaneous expenses,2000000
542,505103 Narmada Division 2,2208511 Expenses on General Survey,200000
543,505103 Narmada Division 2,2208522 Expenses on Water Meters,2000000
544,505103 Narmada Division 2,2302007 Purchase of Valves and Maintenanes,10000000
545,505103 Narmada Division 2,2302008 Special repairing work at water tank,6000000
546,505103 Narmada Division 2,2303008 Stores & Spares for Water Distribution,2000000
547,505103 Narmada Division 2,2304001 Hire Charges of Light Vehicles,1500000
548,505103 Narmada Division 2,2305009 Culverts/Small Bridges,500000
549,505103 Narmada Division 2,2305016 Maint. of City Distribution Pipeline,20000000
550,505103 Narmada Division 2,2305017 Maint. of Main Trunk Pipeline,15000000
551,505103 Narmada Division 2,2305018 Maint. of Main Trunk,15000000
552,505103 Narmada Division 2,2305019 Purchase Of Electrical Equipments,500000
553,505103 Narmada Division 2,2305020 Change of Old Pipeline,30000000
554,505103 Narmada Division 2,2305024 Water Reservoirs (Overhead Tanks),20000000
555,505103 Narmada Division 2,2305033 Maint of Transformer,1000000
556,505103 Narmada Division 2,2305035 Electric Sub-Station,500000
557,505103 Narmada Division 2,2305046 Maint of B.P.Tank,250000
558,505103 Narmada Division 2,2305047 Maint. of Roads,3000000
559,505103 Narmada Division 2,2305048 Maint. of Intactwell,100000
560,505103 Narmada Division 2,2305159 Expenditure on Survey and Drawing of Water Distribution Lines,5000000
561,505103 Narmada Division 2,2305167 Main Gravity Line (Handover by ADB Project) Maintenace Expenses,10000000
562,505103 Narmada Division 2,2305168 Water Tank (Handover by ADB Project) Maintenace Expenses,10000000
563,505103 Narmada Division 2,2305209 Employees' Quarters,1500000
564,505103 Narmada Division 2,2305211 Maint of Office Building,2500000
565,505103 Narmada Division 2,2305212 Maint of Store Building,1000000
566,505103 Narmada Division 2,2305213 Maint of Guest House,2000000
567,505103 Narmada Division 2,2305214 Maint of Rao Sumpwell,500000
568,505103 Narmada Division 2,2305301 Maint of Vehicles (Motor Car),2000000
569,505103 Narmada Division 2,2305401 Maint. of Furniture /Fixtures,500000
570,505103 Narmada Division 2,2305512 Laboratory Equipment,500000
571,505103 Narmada Division 2,2305905 Fire Fighting Equipments,100000
572,505103 Narmada Division 2,2305906 Maint. of Office Equipment,100000
573,505103 Narmada Division 2,2305907 Maint Of Telephone and Wireless,200000
574,505103 Narmada Division 2,2305908 Spare Parts and Consumables,500000
575,505103 Narmada Division 2,2308013 Chemicals and other Goods,1500000
576,505103 Narmada Division 2,2308014 Emergency Repairs,2000000
577,505103 Narmada Division 2,4103204 Water Reservoirs (Overhead),5000000
578,505103 Narmada Division 2,4103205 New Water Pipe Lines,45000000
579,505103 Narmada Division 2,4103223 New Overhead Tank - Bada Ganpati,500000
580,505103 Narmada Division 2,4103224 New Overhead Tank - Nanda nagar/ Pipe line Exp.,1000000
581,505103 Narmada Division 2,4103225 New Overhead Tank - Chandan Nagar,6250000
582,505103 Narmada Division 2,4103226 New Overhead Tank - Khajrana and other Part -2,4800000
583,505103 Narmada Division 2,4103227 New Overhead Tank & Other works - Khatiwala Tank,500000
584,505103 Narmada Division 2,4103228 New Overhead Tank - Other Work Sch. No. 54/74,10000000
585,505103 Narmada Division 2,4103229 New Overhead Tank - Chhatribagh,500000
586,505103 Narmada Division 2,4103231 Renovation of Damage Pipe Line,10000000
587,505103 Narmada Division 2,4103232 Management of Bilawali Filter Plant,2500000
588,505103 Narmada Division 2,4103233 Operation and Maintanance of 12 M.L.D. STP & MPS Allied Works at Kabit Khedi,23000000
589,505103 Narmada Division 2,4103255 Extension of Pipe line for water in Scheme no 74,2000000
590,505103 Narmada Division 2,"4103256 New Overhead Tank - Other Work Sch. No. 78 Nr Rikshaw Stand, Vijay Nagar for 3000 KL",20000000
591,505103 Narmada Division 2,4103289 Laying of pipeline at Rajiv aawas yojana 114,58000000
592,505103 Narmada Division 2,4103290 Construction New water tanki narmada in janta Quarter,55000000
593,505103 Narmada Division 2,4103291 Pipe Line Expenditure of Water Tank (Handover by ADB Project),125000000
594,505103 Narmada Division 2,4103292 Laying of water pipe line of Railway station,16800000
595,505103 Narmada Division 2,"4103294 Pipe Line Expenditure on Water Tank of Chhatri Bagh, Juni Indore Railway Crossing, Schement No.54/74, Chandan Nagar, Palhar Nagar and Khajrana.",16130000
596,505103 Narmada Division 2,4104015 Supply and Installation of Elctro Magnetic and bulk Meter,500000
597,505103 Narmada Division 2,4104043 Operation and Maint. of 78 Mld STP & MPS & Allied Works at kabir khedi,13000000
598,505103 Narmada Division 2,4106002 Purchase of Computers/Peripherals,1500000
599,505103 Narmada Division 2,4106008 Purchase of Fire Fighting Equipments,100000
600,505103 Narmada Division 2,4106011 Purchase of Office Equipment,100000
601,505103 Narmada Division 2,4107001 Purchase of Furniture,500000
602,505104 Water Supply,2101001 Salaries & Allowances,70000000
603,505104 Water Supply,2101021 Wages (Muster Workers),35000000
604,505104 Water Supply,2201221 Postage/Courier expenses,10000
605,505104 Water Supply,2202101 Printing expenses,200000
606,505104 Water Supply,2203005 Travelling and Conveyance - Staff,200000
607,505104 Water Supply,2206041 Workshop and Seminars,200000
608,505104 Water Supply,2208051 Miscellaneous expenses,600000
609,505104 Water Supply,2302002 Emergency Water Supply,12000000
610,505104 Water Supply,2304006 Hire Charges of Water Tankers,50000000
611,505104 Water Supply,2305021 Water ways (Distribution Pipes),10000000
612,505104 Water Supply,2305023 Rain Water Harvesting (Water Recharging),300000
613,505104 Water Supply,2305024 Water Reservoirs (Overhead Tanks),3000000
614,505104 Water Supply,2305028 Maintenance of Service Road at yashwant sagar Pipe line,1500000
615,505104 Water Supply,2305033 Maint of Transformer,1000000
616,505104 Water Supply,2305042 Maint of Impelor,600000
617,505104 Water Supply,2305044 Grant from State Government for Water Problem Exp.,50000000
618,505104 Water Supply,2305045 Water Ways (Distribution Pipes) Zone Head,20700000
619,505104 Water Supply,2305087 Publicity for Water Recharging,2000000
620,505104 Water Supply,2305089 Purchase of Valve,6900000
621,505104 Water Supply,2305091 Jal Abhishek and other place Water Recharging Exp,30000000
622,505104 Water Supply,2305092 Water Recharging Expenses - Public Places,300000
623,505104 Water Supply,2305093 Maint. of Typewriter / Photocopy Machine,500000
624,505104 Water Supply,2305094 Water Recharging Exp - School Buildings,1000000
625,505104 Water Supply,2305096 Water Recharging Exp. Govt. Buildings,300000
626,505104 Water Supply,2305097 Water Recharging Exp - Gardens,2000000
627,505104 Water Supply,2305098 Water Recharging Exp. Corp. Buildings,2000000
628,505104 Water Supply,2305099 Identification of Recharging Acquifier Zone,500000
629,505104 Water Supply,2305102 Lakes & Ponds,3000000
630,505104 Water Supply,2305310 Maint. of Boats at Crossing,200000
631,505104 Water Supply,2305603 Exp. On Electric operation on Dam,1200000
632,505104 Water Supply,"2305904 Maintenance of Pumping at 27"" Gravitation",3000000
633,505104 Water Supply,2305905 Fire Fighting Equipments,300000
634,505104 Water Supply,2305960 Water Recharging Place Maintenance Exp.,5000000
635,505104 Water Supply,2308011 Chemicals - Chlorine,3000000
636,505104 Water Supply,2308012 Camicals - Bleaching & Others,500000
637,505104 Water Supply,2308035 Total Sanitation (Seniteshn) expenditures,100000000
638,505104 Water Supply,2308036 Environmental Changes Safety Exp.,5000000
639,505104 Water Supply,2308098 Chemical - Alum,3000000
640,505104 Water Supply,2502007 Picnics/Functions for School Children,200000
641,505104 Water Supply,2502024 Exhibition & Social Works,500000
642,505104 Water Supply,2718094 Rent of Railway pipe line(w),100000
643,505104 Water Supply,4101003 Boundary Walls,5000000
644,505104 Water Supply,4102033 Construction of Employee quarters At yashwant sagar Dam,5000000
645,505104 Water Supply,4103017 Construction of Road At Devdharam / Pitraparwat,5000000
646,505104 Water Supply,4103205 New Water Pipe Lines,20000000
647,505104 Water Supply,4103209 New Pipeline At New Colonies,1000
648,505104 Water Supply,4103210 Exp. On Water Supply Pipe line and Maintenance Work at zone (parshad fund),147141909
649,505104 Water Supply,4103211 Exp on Water supply pipe line and Maintenance work at zone (Mayor Fund),69000000
650,505104 Water Supply,4103212 New Water Pipe line (Slum Area),20000000
651,505104 Water Supply,4103214 Laying of Pipe line (Jan sahayog) Public Contri.,500000
652,505104 Water Supply,4103215 Machinery for Recovery of Water Tax,100000
653,505104 Water Supply,4103217 Enhancement of Water Storage Capacity (VABCOS),500000
654,505104 Water Supply,4103253 Deepening of Water Ponds,10000000
655,505104 Water Supply,"4103280 Renovation of Khajrana, Bilawali and Limbodi Tank",30000000
656,505104 Water Supply,4106011 Purchase of Office Equipment,500000
657,505104 Water Supply,4107010 Exp for Installation GPS System on Water Tanker,2000000
658,505104 Water Supply,4108005 Beautification of querry at annapurna,12500000
659,505104 Water Supply,4108011 Construction of boundary wall & Rest house at yaswant sagar dam,15000000
660,505104 Water Supply,4122091 Expenses from MLA Fund,5000000
661,505104 Water Supply,4122099 Expenses From Member of Parliament Fund,5000000
662,505105 Tubewell,2101001 Salaries & Allowances,30000000
663,505105 Tubewell,2201221 Postage/Courier expenses,10000
664,505105 Tubewell,2202101 Printing expenses,100000
665,505105 Tubewell,2203005 Travelling and Conveyance - Staff,50000
666,505105 Tubewell,2208051 Miscellaneous expenses,100000
667,505105 Tubewell,2208511 Expenses on General Survey,200000
668,505105 Tubewell,2301011 Electricity Expenses for Tube Well,120000000
669,505105 Tubewell,2303012 Stores for Public Lighting,5000000
670,505105 Tubewell,2303016 Clorinator Purchases Expenditure,5000000
671,505105 Tubewell,2305022 Borewell/Open wells,6900000
672,505105 Tubewell,2305027 Tubewells and Handpumps,100000
673,505105 Tubewell,2305043 Fire Hydrants,5000000
674,505105 Tubewell,"2305054 Maint. of Tubewell, Handpump and Sumpwell",30000000
675,505105 Tubewell,2305055 Cleaning of Wells,10000000
676,505105 Tubewell,2305056 Cleaning of Tubewell Pump,100000
677,505105 Tubewell,2305057 Exp on Rewinding of Tubewell Pump,1000
678,505105 Tubewell,2305058 Maint. of Elec. Fittings and Openwell Pump,1000
679,505105 Tubewell,2305059 Conducting of Survey of Pvt. Tubewell,1000
680,505105 Tubewell,2305060 Maint. of Handpump,1000
681,505105 Tubewell,2305066 Purchase of Capacitor For Tubewell,4100000
682,505105 Tubewell,2305166 Tubewell Water Quality Monitoring Expenditure,1000000
683,505105 Tubewell,2305401 Maint. of Furniture /Fixtures,500000
684,505105 Tubewell,4103203 Tube Wells,32500000
685,505105 Tubewell,4103219 Purchase Of G.I. Pipe For New Tubewell,100000
686,505105 Tubewell,4103220 Purchase Of Pumpset For Jansahyog Tubewell,2500000
687,505105 Tubewell,4103221 New Tubewells & Machines (Slum Area),5000000
688,505105 Tubewell,4103222 Additional Source of New Hydrade,5000000
689,505105 Tubewell,4103281 Renovation of Old Bavdiya,15000000
690,505105 Tubewell,4103288 The combination of the electric power expenditure on new tubewells,15000000
691,505105 Tubewell,4106011 Purchase of Office Equipment,500000
692,505105 Tubewell,4106012 Purchase of Pumpset,100000
693,505105 Tubewell,4107001 Purchase of Furniture,100000
694,505105 Tubewell,4107008 Purchase of Sintex water tank (Tube well Department ),2500000
695,505105 Tubewell,4107009 Annual Exp for Maintenance of tube well,500000
696,505105 Tubewell,4122091 Expenses from MLA Fund,5000000
697,505105 Tubewell,4122099 Expenses From Member of Parliament Fund,2500000
698,505106 yashvant sagar pumping,2101001 Salaries & Allowances,27500000
699,505106 yashvant sagar pumping,2201221 Postage/Courier expenses,10000
700,505106 yashvant sagar pumping,2203005 Travelling and Conveyance - Staff,100000
701,505106 yashvant sagar pumping,2205107 License Fees/Renewal of Licenses,50000
702,505106 yashvant sagar pumping,2205108 Fee For Renewal of License of Devdharam Filter Plant,50000
703,505106 yashvant sagar pumping,2208008 Exp. On Security Guards at Devdharam Pumping Station,1500000
704,505106 yashvant sagar pumping,2208051 Miscellaneous expenses,500000
705,505106 yashvant sagar pumping,2301015 Electricity Expenses - MPSEB - Yashwant Sagar Devdharam,30000000
706,505106 yashvant sagar pumping,2301016 Electricity Expenses - MPSEB - Bilawali,400000
707,505106 yashvant sagar pumping,2301017 Electricity Expenses - MPSEB - Harsidhi,200000
708,505106 yashvant sagar pumping,2305078 Purchase of Impelor,1500000
709,505106 yashvant sagar pumping,2305079 Constration Work at Yeshwant Sagar/ other work expenses,25000000
710,505106 yashvant sagar pumping,2305080 work at Devdharam Filter Plant,15000000
711,505106 yashvant sagar pumping,2305082 Maint. Of Pumpinig at Yashwant Sagar,2500000
712,505106 yashvant sagar pumping,2305083 Exp. at Devdharam Filter Plant,2500000
713,505106 yashvant sagar pumping,2305084 Maint Of Machinery at Devdharam,800000
714,505106 yashvant sagar pumping,2305085 Maint.of Machine Fulkalaria,500000
715,505106 yashvant sagar pumping,2305175 Maint. of Bilawali and Limodi Takab,1000000
716,505106 yashvant sagar pumping,4102097 Purchase of Naav At Devdharam,2000000
717,505106 yashvant sagar pumping,4103018 Constriction Bridge at Calmer Ghat,27500000
718,505106 yashvant sagar pumping,4103216 Gradation of RAO/Bilawli Channel,1000
719,505106 yashvant sagar pumping,4103218 Construction on Sirpur Talab,30000000
720,505106 yashvant sagar pumping,4103317 Installation of Transformer at Yashwant Sagar,3500000
721,505106 yashvant sagar pumping,4103318 Electric Arrangement at Yashwant Sagar and Devdharam,2500000
722,505106 yashvant sagar pumping,4106012 Purchase of Pumpset,3000000
723,505201 Drainage Department,2101001 Salaries & Allowances,30000000
724,505201 Drainage Department,2101021 Wages (Muster Workers),20000000
725,505201 Drainage Department,2201221 Postage/Courier expenses,5000
726,505201 Drainage Department,2202101 Printing expenses,200000
727,505201 Drainage Department,2203005 Travelling and Conveyance - Staff,50000
728,505201 Drainage Department,2208023 Supporting Staff & Utilities for Office Work,5000000
729,505201 Drainage Department,2208051 Miscellaneous expenses,500000
730,505201 Drainage Department,2208511 Expenses on General Survey,5000000
731,505201 Drainage Department,2303009 Equipments for Health and Safety in Drainage Works,1500000
732,505201 Drainage Department,2305011 Underground Drains (Sewer Pipes Network),60000000
733,505201 Drainage Department,2305077 White Washing of Urinals,3000000
734,505201 Drainage Department,2305121 Public Toilets,5000000
735,505201 Drainage Department,2305130 Sewer Junction cum Jetting Machine Maintenance Expenses,5000000
736,505201 Drainage Department,2305190 Fee for renewal of License of Low Level Pump Station,5000
737,505201 Drainage Department,2305191 Maint.of Chambers,20700000
738,505201 Drainage Department,2305192 Maint. of Low Lavel Pumping Station,4500000
739,505201 Drainage Department,2305193 Const. of Storm Water Rain,6900000
740,505201 Drainage Department,2305194 Exp. on Covering of Main Holes,6900000
741,505201 Drainage Department,2305195 Exp. on Raising of Main Holes,6900000
742,505201 Drainage Department,2718093 Water Tax to M.P.S. Pollution Control,1000
743,505201 Drainage Department,2718094 Rent of Railway pipe line(w),200000
744,505201 Drainage Department,4102020 Const. Public Toilets,40000000
745,505201 Drainage Department,4102021 New Public Toilets in Slum Area,5000000
746,505201 Drainage Department,4103103 Sewer Pipes,350000000
747,505201 Drainage Department,4103104 Storm Water Gutters,30000000
748,505201 Drainage Department,4103106 New Sewer Line - Slum Areas,30000000
749,505201 Drainage Department,4103107 New Sewer Line - Jan Sahyog,30000000
750,505201 Drainage Department,4103117 Expenditure on the overall development plan of the city'' Drainage,400000000
751,505201 Drainage Department,4103119 Secondary Sewerage Network D.S.C.F.V.M.C. Work,20000000
752,505201 Drainage Department,4104008 Manhole Mud Remover Machine,4000000
753,505201 Drainage Department,"4106013 Purchase of Machine, Sewerline",20000000
754,505201 Drainage Department,4106030 Computer & Other IT Hardware Equipment Purchase Expenditures,1000000
755,505201 Drainage Department,4108025 Chief Minister Infrastructure Development Expenditure(Khan River Tatkalik purification / sewerage works spending),500000000
756,505201 Drainage Department,4122091 Expenses from MLA Fund,5000000
757,505201 Drainage Department,4122099 Expenses From Member of Parliament Fund,5000000
758,505201 Drainage Department,4123004 Share of IMC (Sulabh Complex),19200000
759,606101 Garden Department,2101001 Salaries & Allowances,60000000
760,606101 Garden Department,2101021 Wages (Muster Workers),39500000
761,606101 Garden Department,2201221 Postage/Courier expenses,10000
762,606101 Garden Department,2202101 Printing expenses,100000
763,606101 Garden Department,2203005 Travelling and Conveyance - Staff,10000
764,606101 Garden Department,2208051 Miscellaneous expenses,150000
765,606101 Garden Department,2208545 Expenses on Plantations on Pitra Parvat,300000
766,606101 Garden Department,2305049 Vehicle Hire Rent JCB/Other,1000000
767,606101 Garden Department,2305050 Maint of Quarters,25000
768,606101 Garden Department,"2305101 Parks, Nurseries & Gardens",10000
769,606101 Garden Department,2305104 Swimming Pool Mhow Naka,1000000
770,606101 Garden Department,"2305110 Dev. of Pakshi Vihar/ Bird Sanctuaries, Aquariums",200000
771,606101 Garden Department,2305153 Exp for Maintenance Of garden By R.W.A./Mohalla samiti,500000
772,606101 Garden Department,2305162 Exp for Pipliya Pala regional Park Maintance,40000000
773,606101 Garden Department,2305163 Mantenanc of gardan( zone ),13800000
774,606101 Garden Department,2305171 Automatic Camera & Unifor Maintenance Expenses,700000
775,606101 Garden Department,2305178 Maint of Swimming Pool - Nehru Park,1000000
776,606101 Garden Department,2305179 Exp. on Beautification of Sqr (Main),1500000
777,606101 Garden Department,2305180 Maint. of Bijasan Garden,300000
778,606101 Garden Department,2305181 Maint. of Deen Dayal Garden,200000
779,606101 Garden Department,2305182 Maint. of Sirpur Garden,1000000
780,606101 Garden Department,2305184 Maint. of Nehru park,2500000
781,606101 Garden Department,2305186 Maint. of Meghdoot Garden & Bharatmata Temple Garden,500000
