Srno,Department,Budget Head,Allocation
395,202701 Public Works,4103016 Scheme for Urban women Employment/ Exhibition Program,1000000
396,202701 Public Works,4103017 Construction of Road At Devdharam / Pitraparwat,5000000
397,202701 Public Works,4103019 Zonel Cement Concrete Roads (Zone Head),30000000
398,202701 Public Works,4103034 Const. of Road(Jansahyog) IMC Contribution,340000000
399,202701 Public Works,4103035 Const. of Road(Jansahyog) Public Contribution,80000000
400,202701 Public Works,4103036 Const. Roads in Safai Kamgar/Urban poor colony,200000000
401,202701 Public Works,4103038 Const. of Road work at Zone(parshad),221102531
402,202701 Public Works,4103039 Const. of Road work at Zone(Mayor),39990000
403,202701 Public Works,4103067 Development of Ring Road,70000000
404,202701 Public Works,4103094 Ravindra Natya development / expenditure for other functions,10000
405,202701 Public Works,4103096 City Road - Metal,20000000
406,202701 Public Works,4103097 City Road - Cement concrete,250000000
407,202701 Public Works,4103098 Acquisition of Land and Building Due to Road Widening,10000000
408,202701 Public Works,4103099 City Road - Butuman,200000000
409,202701 Public Works,4103102 Const. of Water Storm Drain of Zonal Roads Except Bond Road,100000000
410,202701 Public Works,4104042 Purchase of Equip.for atikraman Removal of Encroachment,2000000
411,202701 Public Works,4106002 Purchase of Computers/Peripherals,2000000
412,202701 Public Works,4106011 Purchase of Office Equipment,1000000
413,202701 Public Works,4108001 Nandanagar Infrastructure Dev.,100000
414,202701 Public Works,4108002 Beautification and other Civic works on pitra parwat and Bijasan Tekari,2500000
415,202701 Public Works,4108003 Exp on Development of Harsidhi/Chhatribagh/Gangaurghat,2500000
416,202701 Public Works,4108007 Development of Atal Sports Complex,30000000
417,202701 Public Works,4108013 Development on nahar bhandara Lake,10000000
418,202701 Public Works,4108023 Chief Minister Infrastructure Development Expenditure (Road Beautification & Other Work),300000000
419,202701 Public Works,4108052 Exp. on Development of ST/SC Area,300000000
420,202701 Public Works,4108072 Building Permission automation,1000000
421,202701 Public Works,4108087 Project Monitoring/ Consulting/ Skupervision Charges,3000000
422,202701 Public Works,4122090 Exp. form State Education Center,20000000
423,202701 Public Works,4122091 Expenses from MLA Fund,5000000
424,202701 Public Works,4122099 Expenses From Member of Parliament Fund,5000000
425,202701 Public Works,4123005 Construction of Administrative Building of Municipal Corporation ( I Phase),5000000
426,202701 Public Works,4123006 Construction of Hawkers Zone,20000000
427,202701 Public Works,4123007 Construction of yaswant Sagar Cow Shed,15000000
428,202701 Public Works,4123008 Residential Building of Employee,100000
429,202701 Public Works,4123009 Construction of Night Shelter,50000000
430,202701 Public Works,4123010 Construction of Community Hall in Colonies,50000000
431,202701 Public Works,4123016 Construction of Community Hall ( Safai karmchari / Slum Areas),15000000
432,202701 Public Works,4123017 Construction of New Vegetable Market,10000000
433,303101 Public Health Department,2101001 Salaries & Allowances,460000000
434,303101 Public Health Department,2101021 Wages (Muster Workers),220000000
435,303101 Public Health Department,2101022 Seasonal and Urgent Works,100000000
436,303101 Public Health Department,2201221 Postage/Courier expenses,1000
437,303101 Public Health Department,2202101 Printing expenses,200000
438,303101 Public Health Department,2203005 Travelling and Conveyance - Staff,100000
439,303101 Public Health Department,2204002 Exp. for Vehicle Insurance,5000000
440,303101 Public Health Department,2206041 Workshop and Seminars,1000000
441,303101 Public Health Department,2208051 Miscellaneous expenses,200000
442,303101 Public Health Department,2208507 Survey for Health Work,500000
443,303101 Public Health Department,2208530 Expenses for Clearing Grass/Weeds,750000
444,303101 Public Health Department,2208536 Prevention of Deseases,1000000
445,303101 Public Health Department,2208543 Expenses on Health Camps,800000
446,303101 Public Health Department,2208548 Health Campus at Backward Areas,3000000
447,303101 Public Health Department,2208549 Exp. on Education of Safai Kamgar Children,5000000
448,303101 Public Health Department,2208551 Milk at Jhoola Ghar for Children of Safai kamgar,200000
449,303101 Public Health Department,2303050 Exp. On Kachra Peti,10000000
450,303101 Public Health Department,2303053 Swanon binding and vaccination of stray and other expenses,7500000
451,303101 Public Health Department,2305913 Shwanoen (dog) citizens by cutting expenditure on disease,2500000
452,303101 Public Health Department,2501003 Dr. Shyama Prasad Mukherjee Accidental Insurance Scheme (For Citizens of Indore),3000000
453,303101 Public Health Department,2501005 Participation in National Health Program,100000
454,303101 Public Health Department,2501009 Expenses on Working of Shri Kushabhau Thackrey Health Centre,1000000
455,303101 Public Health Department,2601003 Grant & Subsidy to AICTSL for BRTS,2500000
456,303101 Public Health Department,4102018 Const. of Meat Selling Shop,30000000
457,303101 Public Health Department,4102035 Construction of Attendance Centres at Wards,20000000
458,303101 Public Health Department,4105009 Dog Catching Vehicle,10000000
459,303101 Public Health Department,4105017 Purchase of Vehicle,200000000
460,303101 Public Health Department,4106002 Purchase of Computers/Peripherals,500000
461,303102 Public Health Department,2208553 Removal of Pigs,1500000
462,303102 Public Health Department,2303097 Insecticides for Mosquitos,20000000
463,404101 Solid Waste Management,4101002 Land Development Cost(Treching ground),20000000
464,404101 Solid Waste Management,4101006 Landfill Site (Trenching Ground),10000000
465,404101 Solid Waste Management,4101092 Const. of Temp. Trenching Ground(Waste Transfer Station),50000000
466,404101 Solid Waste Management,4102008 Construction of Pig-Houses,1500000
467,404101 Solid Waste Management,4104003 Cleaning Equipments,40000000
468,404101 Solid Waste Management,4108021 Purchase of Dumpsters,60000000
469,404102 Landfill Sites Management,2208521 Expenses for Weighing of Garbage,2000000
470,404102 Landfill Sites Management,2208541 Expenses for Removing of Dead Bodies,100000
471,404102 Landfill Sites Management,2208550 Exp. on Sanitary Traning to Safai kamgar,200000
472,404102 Landfill Sites Management,2208552 Mobile Van Magistrate Exp.,600000
473,404102 Landfill Sites Management,2303051 Cleaning Material,20000000
474,404102 Landfill Sites Management,2304008 Kachra Transportation Exp.,120000000
475,404102 Landfill Sites Management,2305051 Garbage Collection Points,3000000
476,404102 Landfill Sites Management,2305053 Wheel Barrows (Hath Gadi),750000
477,404102 Landfill Sites Management,2308034 Door to Door Waste Collection (Scheme) Expenses,100000000
478,404102 Landfill Sites Management,4104023 Bio-Gas Plant / Energy Plant / Vermi Culture Plant - Construct,20000000
479,404102 Landfill Sites Management,4105004 Trucks (Lorries and Dumpers),50000000
480,404102 Landfill Sites Management,4105010 Wheel Barrows,40000000
481,404102 Landfill Sites Management,4108028 Construction Of Platforms for Kachra Peti (Waste Collection Pot),10000000
482,404103 Street Watering & Cleaning,2201004 Rent - Slaughter House,200000
483,404103 Street Watering & Cleaning,2303095 Water Purification Bleaching Powder,3000000
484,404103 Street Watering & Cleaning,2503004 Expenditure on residents Sandho award for cleaning up,5000000
485,505102 Narmada Division 1,2201121 Security Arrangement Exp,6000000
486,505102 Narmada Division 1,2201221 Postage/Courier expenses,15000
487,505102 Narmada Division 1,2202101 Printing expenses,400000
488,505102 Narmada Division 1,2206102 Fee For Renewal of Narmada Sch. Pumping Station,400000
489,505102 Narmada Division 1,2208051 Miscellaneous expenses,500000
490,505102 Narmada Division 1,2301001 Electricity Exp Narmada Connection/Water Works,1140750000
491,505102 Narmada Division 1,2302003 Water Meter Maintenance,1500000
492,505102 Narmada Division 1,2302004 Intake Well - Capacity 900 mld maintenance,10000000
493,505102 Narmada Division 1,2302005 Water Treatment Plant - Capacity363 mld,10000000
494,505102 Narmada Division 1,2305001 Land Boundaries & Fences,12500000
495,505102 Narmada Division 1,2305033 Maint of Transformer,2000000
496,505102 Narmada Division 1,2305046 Maint of B.P.Tank,200000
497,505102 Narmada Division 1,2305047 Maint. of Roads,60000000
498,505102 Narmada Division 1,2305048 Maint. of Intactwell,5000000
499,505102 Narmada Division 1,2305089 Purchase of Valve,2500000
500,505102 Narmada Division 1,2305112 Maint. Of Plant and Machinery Intakewell,8000000
501,505102 Narmada Division 1,2305116 Maint. of Plant & Machinery of Pumphouse No. 5,22000000
502,505102 Narmada Division 1,2305117 Maint of Electrical Equipment,2500000
503,505102 Narmada Division 1,2305118 Maint of Spare Parts,2000000
504,505102 Narmada Division 1,2305119 Maint of Pipeline of Pumphouse No.1,7000000
505,505102 Narmada Division 1,2305120 Maint. of Intakewell Bridge and Pumphouse,50000
506,505102 Narmada Division 1,2305122 Maint. of Retaining Wall,5000000
507,505102 Narmada Division 1,2305123 Maint. of Clear Water Pump,10000000
508,505102 Narmada Division 1,2305124 Maint of Panels and Cables,2000000
509,505102 Narmada Division 1,2305125 Maint. of Pipeline B.P. Tank,1500000
510,505102 Narmada Division 1,2305126 Spares for Raw Water Pump,35000000
511,505102 Narmada Division 1,2305127 Spares For Clear Water Pump,25000000
512,505102 Narmada Division 1,2305128 Tools for T & P Machinery,300000
513,505102 Narmada Division 1,2305129 Purchase of Battries,1500000
514,505102 Narmada Division 1,2305135 Purchase of Capacitor,2000000
515,505102 Narmada Division 1,2305136 Vehicle Rent,75000
516,505102 Narmada Division 1,2305137 Tender Publishing Exp,1000000
517,505102 Narmada Division 1,2305140 Maint of Water Purification Plant,5000000
518,505102 Narmada Division 1,2305169 Maintanence expenditure of Pipeline Intekwell to B.P. tank expenditure,8000000
519,505102 Narmada Division 1,2305209 Employees' Quarters,3000000
520,505102 Narmada Division 1,2305215 Maint.Of Building,2000000
521,505102 Narmada Division 1,2305301 Maint of Vehicles (Motor Car),4000000
522,505102 Narmada Division 1,2305512 Laboratory Equipment,1100000
523,505102 Narmada Division 1,2305604 132 KV Sub-Stations,20000000
524,505102 Narmada Division 1,2305605 Clear Water Pumping Station - 3 Nos. & Elect. Sub- Stations,20000000
525,505102 Narmada Division 1,2305905 Fire Fighting Equipments,300000
526,505102 Narmada Division 1,2305907 Maint Of Telephone and Wireless,500000
527,505102 Narmada Division 1,2305908 Spare Parts and Consumables,3000000
528,505102 Narmada Division 1,2308009 Other Maintenance Exp.,8000000
529,505102 Narmada Division 1,2308013 Chemicals and other Goods,8000000
530,505102 Narmada Division 1,4102006 Constrn. of Staff Quarters,500000
531,505102 Narmada Division 1,4103293 Pipeline Expenditure for old Intekwell to New Intekwell Connectivity,5000000
532,505102 Narmada Division 1,4104022 High Voltage Electric Motor Purchase Exp.,10000000
533,505102 Narmada Division 1,4105001 Purchase of Vehicles/Motor Car,2000000
534,505102 Narmada Division 1,4106002 Purchase of Computers/Peripherals,500000
535,505102 Narmada Division 1,4106008 Purchase of Fire Fighting Equipments,100000
536,505102 Narmada Division 1,4106014 Purchase of Transformer,3500000
537,505102 Narmada Division 1,4106015 Purchase of Electrical Motors,500000
538,505102 Narmada Division 1,4106016 Purchase of Onload Tape Changer,1000
539,505102 Narmada Division 1,4106017 Purchase of Voltage Protection System,200000
540,505103 Narmada Division 2,2101024 Payment to temporary labour on high level tanks,80000000
541,505103 Narmada Division 2,2201101 Electricity Charges - Office,6000000
542,505103 Narmada Division 2,2201106 Office Expenditure of Circle Office,500000
543,505103 Narmada Division 2,2201201 Telephone expenses,2000000
544,505103 Narmada Division 2,2201221 Postage/Courier expenses,25000
545,505103 Narmada Division 2,2202101 Printing expenses,500000
546,505103 Narmada Division 2,2202102 Stationery,900000
547,505103 Narmada Division 2,2203005 Travelling and Conveyance - Staff,100000
548,505103 Narmada Division 2,2205222 Plan of water supply lines Suddhdikrn DPR Expenditure on R to,10000000
549,505103 Narmada Division 2,2206002 Tenders Advertisement Expenses,4000000
550,505103 Narmada Division 2,2206041 Workshop and Seminars,100000
551,505103 Narmada Division 2,2208051 Miscellaneous expenses,2000000
552,505103 Narmada Division 2,2208511 Expenses on General Survey,200000
553,505103 Narmada Division 2,2208522 Expenses on Water Meters,2000000
554,505103 Narmada Division 2,2302007 Purchase of Valves and Maintenanes,20000000
555,505103 Narmada Division 2,2302008 Special repairing work at water tank,6000000
556,505103 Narmada Division 2,2303008 Stores & Spares for Water Distribution,5000000
557,505103 Narmada Division 2,2304001 Hire Charges of Light Vehicles,1500000
558,505103 Narmada Division 2,2305009 Culverts/Small Bridges,500000
559,505103 Narmada Division 2,2305016 Maint. of City Distribution Pipeline,40000000
560,505103 Narmada Division 2,2305017 Maint. of Main Trunk Pipeline,15000000
561,505103 Narmada Division 2,2305018 Maint. of Main Trunk,25000000
562,505103 Narmada Division 2,2305019 Purchase Of Electrical Equipments,500000
563,505103 Narmada Division 2,2305020 Change of Old Pipeline,30000000
564,505103 Narmada Division 2,2305024 Water Reservoirs (Overhead Tanks),20000000
565,505103 Narmada Division 2,2305033 Maint of Transformer,2000000
566,505103 Narmada Division 2,2305035 Electric Sub-Station,1000000
567,505103 Narmada Division 2,2305046 Maint of B.P.Tank,250000
568,505103 Narmada Division 2,2305047 Maint. of Roads,3000000
569,505103 Narmada Division 2,2305048 Maint. of Intactwell,100000
570,505103 Narmada Division 2,2305159 Expenditure on Survey and Drawing of Water Distribution Lines,5000000
571,505103 Narmada Division 2,2305167 Main Gravity Line (Handover by ADB Project) Maintenace Expenses,10000000
572,505103 Narmada Division 2,2305168 Water Tank (Handover by ADB Project) Maintenace Expenses,20000000
573,505103 Narmada Division 2,2305209 Employees' Quarters,2500000
574,505103 Narmada Division 2,2305211 Maint of Office Building,2500000
575,505103 Narmada Division 2,2305212 Maint of Store Building,1000000
576,505103 Narmada Division 2,2305213 Maint of Guest House,2000000
577,505103 Narmada Division 2,2305214 Maint of Rao Sumpwell,500000
578,505103 Narmada Division 2,2305301 Maint of Vehicles (Motor Car),2000000
579,505103 Narmada Division 2,2305401 Maint. of Furniture /Fixtures,500000
580,505103 Narmada Division 2,2305512 Laboratory Equipment,500000
581,505103 Narmada Division 2,2305905 Fire Fighting Equipments,100000
582,505103 Narmada Division 2,2305906 Maint. of Office Equipment,100000
583,505103 Narmada Division 2,2305907 Maint Of Telephone and Wireless,200000
584,505103 Narmada Division 2,2305908 Spare Parts and Consumables,500000
585,505103 Narmada Division 2,2308013 Chemicals and other Goods,2000000
586,505103 Narmada Division 2,2308014 Emergency Repairs,1000000
587,505103 Narmada Division 2,4102055 New Office Building,500000
588,505103 Narmada Division 2,4103204 Water Reservoirs (Overhead),5000000
589,505103 Narmada Division 2,4103205 New Water Pipe Lines,50000000
590,505103 Narmada Division 2,4103223 New Overhead Tank - Bada Ganpati,500000
591,505103 Narmada Division 2,4103224 New Overhead Tank - Nanda nagar/ Pipe line Exp.,1000000
592,505103 Narmada Division 2,4103225 New Overhead Tank - Chandan Nagar,1000000
593,505103 Narmada Division 2,4103226 New Overhead Tank - Khajrana and other Part -2,4000000
594,505103 Narmada Division 2,4103227 New Overhead Tank & Other works - Khatiwala Tank,500000
595,505103 Narmada Division 2,4103228 New Overhead Tank - Other Work Sch. No. 54/74,10000000
596,505103 Narmada Division 2,4103229 New Overhead Tank - Chhatribagh,500000
597,505103 Narmada Division 2,4103231 Renovation of Damage Pipe Line,10000000
598,505103 Narmada Division 2,4103232 Management of Bilawali Filter Plant,2500000
599,505103 Narmada Division 2,4103233 Operation and Maintanance of 12 M.L.D. STP & MPS Allied Works at Kabit Khedi,23000000
600,505103 Narmada Division 2,4103255 Extension of Pipe line for water in Scheme no 74,2000000
601,505103 Narmada Division 2,"4103256 New Overhead Tank - Other Work Sch. No. 78 Nr Rikshaw Stand, Vijay Nagar for 3000 KL",20000000
602,505103 Narmada Division 2,4103289 Laying of pipeline at Rajiv aawas yojana 114,58000000
603,505103 Narmada Division 2,4103290 Construction New water tanki narmada in janta Quarter,55000000
604,505103 Narmada Division 2,4103291 Pipe Line Expenditure of Water Tank (Handover by ADB Project),125000000
605,505103 Narmada Division 2,4103292 Laying of water pipe line of Railway station,2500000
606,505103 Narmada Division 2,"4103294 Pipe Line Expenditure on Water Tank of Chhatri Bagh, Juni Indore Railway Crossing, Schement No.54/74, Chandan Nagar, Palhar Nagar and Khajrana.",12500000
607,505103 Narmada Division 2,4103296 Waterways for Super Corridor Water Distribution Exp.,20000000
608,505103 Narmada Division 2,4103297 Sump Well Construction at Azad Nagar & Sadar Bazar Area,2500000
609,505103 Narmada Division 2,"4103298 Meter, Valve & Other Exp. at PWD Water Tank Area",45000000
610,505103 Narmada Division 2,4103299 Renovation Expenses of Old of First and Second Phase,25000000
611,505103 Narmada Division 2,4104015 Supply and Installation of Elctro Magnetic and bulk Meter,2500000
612,505103 Narmada Division 2,4104025 Interconnection Work in New & Old Feeder Main,20000000
613,505103 Narmada Division 2,4104026 Distribution of Water from overhead Water Tank,100000000
614,505103 Narmada Division 2,4104028 Water Distribution System at A.B. Road - Bye Pass & Other works Exp.,50000000
615,505103 Narmada Division 2,4104029 Establishment of Valve & SCADA System Exp on all Water Tank for Flow Cum Pressure Regulating,20000000
616,505103 Narmada Division 2,4104043 Operation and Maint. of 78 Mld STP & MPS & Allied Works at kabir khedi,13000000
617,505103 Narmada Division 2,4106002 Purchase of Computers/Peripherals,1500000
618,505103 Narmada Division 2,4106008 Purchase of Fire Fighting Equipments,100000
619,505103 Narmada Division 2,4106011 Purchase of Office Equipment,100000
620,505103 Narmada Division 2,4107001 Purchase of Furniture,500000
621,505103 Narmada Division 2,4108030 Hrsiddhi tank construction,10000000
622,505104 Water Supply,2101001 Salaries & Allowances,77000000
623,505104 Water Supply,2101021 Wages (Muster Workers),35000000
624,505104 Water Supply,2201221 Postage/Courier expenses,10000
625,505104 Water Supply,2202101 Printing expenses,200000
626,505104 Water Supply,2203005 Travelling and Conveyance - Staff,200000
627,505104 Water Supply,2206041 Workshop and Seminars,200000
628,505104 Water Supply,2208051 Miscellaneous expenses,600000
629,505104 Water Supply,2302002 Emergency Water Supply,12000000
630,505104 Water Supply,2304006 Hire Charges of Water Tankers,50000000
631,505104 Water Supply,2305021 Water ways (Distribution Pipes),10000000
632,505104 Water Supply,2305023 Rain Water Harvesting (Water Recharging),300000
633,505104 Water Supply,2305024 Water Reservoirs (Overhead Tanks),3000000
634,505104 Water Supply,2305028 Maintenance of Service Road at yashwant sagar Pipe line,1500000
635,505104 Water Supply,2305033 Maint of Transformer,1000000
636,505104 Water Supply,2305042 Maint of Impelor,600000
637,505104 Water Supply,2305044 Grant from State Government for Water Problem Exp.,50000000
638,505104 Water Supply,2305045 Water Ways (Distribution Pipes) Zone Head,27600000
639,505104 Water Supply,2305087 Publicity for Water Recharging,2000000
640,505104 Water Supply,2305089 Purchase of Valve,6900000
641,505104 Water Supply,2305091 Jal Abhishek and other place Water Recharging Exp,60000000
642,505104 Water Supply,2305092 Water Recharging Expenses - Public Places,300000
643,505104 Water Supply,2305093 Maint. of Typewriter / Photocopy Machine,500000
644,505104 Water Supply,2305094 Water Recharging Exp - School Buildings,1000000
645,505104 Water Supply,2305096 Water Recharging Exp. Govt. Buildings,300000
646,505104 Water Supply,2305097 Water Recharging Exp - Gardens,2000000
647,505104 Water Supply,2305098 Water Recharging Exp. Corp. Buildings,2000000
648,505104 Water Supply,2305099 Identification of Recharging Acquifier Zone,500000
649,505104 Water Supply,2305102 Lakes & Ponds,3000000
650,505104 Water Supply,2305310 Maint. of Boats at Crossing,200000
651,505104 Water Supply,2305603 Exp. On Electric operation on Dam,1200000
652,505104 Water Supply,"2305904 Maintenance of Pumping at 27"" Gravitation",3000000
653,505104 Water Supply,2305905 Fire Fighting Equipments,300000
654,505104 Water Supply,2305914 Vekalpik Water Survey and other expenses,10000000
655,505104 Water Supply,2305960 Water Recharging Place Maintenance Exp.,5000000
656,505104 Water Supply,2308011 Chemicals - Chlorine,3000000
657,505104 Water Supply,2308012 Camicals - Bleaching & Others,500000
658,505104 Water Supply,2308035 Total Sanitation (Seniteshn) expenditures,10000000
659,505104 Water Supply,2308036 Environmental Changes Safety Exp.,5000000
660,505104 Water Supply,2308098 Chemical - Alum,3000000
661,505104 Water Supply,2502007 Picnics/Functions for School Children,200000
662,505104 Water Supply,2502024 Exhibition & Social Works,500000
663,505104 Water Supply,2718094 Rent of Railway pipe line(w),100000
664,505104 Water Supply,4101003 Boundary Walls,5000000
665,505104 Water Supply,4102033 Construction of Employee quarters At yashwant sagar Dam,5000000
666,505104 Water Supply,4103017 Construction of Road At Devdharam / Pitraparwat,5000000
667,505104 Water Supply,4103205 New Water Pipe Lines,20000000
668,505104 Water Supply,4103209 New Pipeline At New Colonies,1000
669,505104 Water Supply,4103210 Exp. On Water Supply Pipe line and Maintenance Work at zone (parshad fund),202050244
670,505104 Water Supply,4103211 Exp on Water supply pipe line and Maintenance work at zone (Mayor Fund),69000000
671,505104 Water Supply,4103212 New Water Pipe line (Slum Area),20000000
672,505104 Water Supply,4103214 Laying of Pipe line (Jan sahayog) Public Contri.,500000
673,505104 Water Supply,4103215 Machinery for Recovery of Water Tax,100000
674,505104 Water Supply,4103217 Enhancement of Water Storage Capacity (VABCOS),500000
675,505104 Water Supply,4103253 Deepening of Water Ponds,1500000
676,505104 Water Supply,"4103280 Renovation of Khajrana, Bilawali and Limbodi Tank",30000000
677,505104 Water Supply,4106011 Purchase of Office Equipment,500000
678,505104 Water Supply,4107010 Exp for Installation GPS System on Water Tanker,2000000
679,505104 Water Supply,4108005 Beautification of querry at annapurna,12500000
680,505104 Water Supply,4108011 Construction of boundary wall & Rest house at yaswant sagar dam,15000000
681,505104 Water Supply,4122091 Expenses from MLA Fund,5000000
682,505104 Water Supply,4122099 Expenses From Member of Parliament Fund,5000000
683,505105 Tubewell,2101001 Salaries & Allowances,33000000
684,505105 Tubewell,2201221 Postage/Courier expenses,10000
685,505105 Tubewell,2202101 Printing expenses,100000
686,505105 Tubewell,2203005 Travelling and Conveyance - Staff,50000
687,505105 Tubewell,2208051 Miscellaneous expenses,100000
688,505105 Tubewell,2208511 Expenses on General Survey,200000
689,505105 Tubewell,2301011 Electricity Expenses for Tube Well,150000000
690,505105 Tubewell,2303012 Stores for Public Lighting,5000000
691,505105 Tubewell,2303016 Clorinator Purchases Expenditure,5000000
692,505105 Tubewell,2305022 Borewell/Open wells,6900000
693,505105 Tubewell,2305027 Tubewells and Handpumps,100000
694,505105 Tubewell,2305043 Fire Hydrants,5000000
695,505105 Tubewell,"2305054 Maint. of Tubewell, Handpump and Sumpwell",50000000
696,505105 Tubewell,2305055 Cleaning of Wells,10000000
697,505105 Tubewell,2305056 Cleaning of Tubewell Pump,100000
698,505105 Tubewell,2305057 Exp on Rewinding of Tubewell Pump,1000
699,505105 Tubewell,2305058 Maint. of Elec. Fittings and Openwell Pump,1000
700,505105 Tubewell,2305059 Conducting of Survey of Pvt. Tubewell,1000
701,505105 Tubewell,2305060 Maint. of Handpump,1000
702,505105 Tubewell,2305066 Purchase of Capacitor For Tubewell,4100000
703,505105 Tubewell,2305166 Tubewell Water Quality Monitoring Expenditure,1000000
704,505105 Tubewell,2305401 Maint. of Furniture /Fixtures,500000
705,505105 Tubewell,4103203 Tube Wells,50000000
706,505105 Tubewell,4103219 Purchase Of G.I. Pipe For New Tubewell,100000
707,505105 Tubewell,4103220 Purchase Of Pumpset For Jansahyog Tubewell,2500000
708,505105 Tubewell,4103221 New Tubewells & Machines (Slum Area),5000000
709,505105 Tubewell,4103222 Additional Source of New Hydrade,5000000
710,505105 Tubewell,4103281 Renovation of Old Bavdiya,15000000
711,505105 Tubewell,4103288 The combination of the electric power expenditure on new tubewells,20000000
712,505105 Tubewell,4104032 Slum / poor / slum boring expenditure for holding the motor pump set,10000000
713,505105 Tubewell,4106011 Purchase of Office Equipment,500000
714,505105 Tubewell,4106012 Purchase of Pumpset,100000
715,505105 Tubewell,4107001 Purchase of Furniture,100000
716,505105 Tubewell,4107008 Purchase of Sintex water tank (Tube well Department ),2500000
717,505105 Tubewell,4107009 Annual Exp for Maintenance of tube well,500000
718,505105 Tubewell,4122091 Expenses from MLA Fund,5000000
719,505105 Tubewell,4122099 Expenses From Member of Parliament Fund,2500000
720,505106 yashvant sagar pumping,2101001 Salaries & Allowances,30250000
721,505106 yashvant sagar pumping,2201221 Postage/Courier expenses,10000
722,505106 yashvant sagar pumping,2203005 Travelling and Conveyance - Staff,100000
723,505106 yashvant sagar pumping,2205107 License Fees/Renewal of Licenses,50000
724,505106 yashvant sagar pumping,2205108 Fee For Renewal of License of Devdharam Filter Plant,50000
725,505106 yashvant sagar pumping,2208008 Exp. On Security Guards at Devdharam Pumping Station,1500000
726,505106 yashvant sagar pumping,2208051 Miscellaneous expenses,500000
727,505106 yashvant sagar pumping,2301015 Electricity Expenses - MPSEB - Yashwant Sagar Devdharam,30000000
728,505106 yashvant sagar pumping,2301016 Electricity Expenses - MPSEB - Bilawali,400000
729,505106 yashvant sagar pumping,2301017 Electricity Expenses - MPSEB - Harsidhi,200000
730,505106 yashvant sagar pumping,2305078 Purchase of Impelor,1500000
731,505106 yashvant sagar pumping,2305079 Constration Work at Yeshwant Sagar/ other work expenses,25000000
732,505106 yashvant sagar pumping,2305080 work at Devdharam Filter Plant,15000000
733,505106 yashvant sagar pumping,2305082 Maint. Of Pumpinig at Yashwant Sagar,2500000
734,505106 yashvant sagar pumping,2305083 Exp. at Devdharam Filter Plant,2500000
735,505106 yashvant sagar pumping,2305084 Maint Of Machinery at Devdharam,800000
736,505106 yashvant sagar pumping,2305085 Maint.of Machine Fulkalaria,500000
737,505106 yashvant sagar pumping,2305175 Maint. of Bilawali and Limodi Takab,1000000
738,505106 yashvant sagar pumping,4102097 Purchase of Naav At Devdharam,2000000
739,505106 yashvant sagar pumping,4103018 Constriction Bridge at Calmer Ghat,27500000
740,505106 yashvant sagar pumping,4103216 Gradation of RAO/Bilawli Channel,1000
741,505106 yashvant sagar pumping,4103218 Construction on Sirpur Talab,30000000
742,505106 yashvant sagar pumping,4103317 Installation of Transformer at Yashwant Sagar,3500000
743,505106 yashvant sagar pumping,4103318 Electric Arrangement at Yashwant Sagar and Devdharam,2500000
744,505106 yashvant sagar pumping,4106012 Purchase of Pumpset,3000000
745,505201 Drainage Department,2101001 Salaries & Allowances,33000000
746,505201 Drainage Department,2101021 Wages (Muster Workers),20000000
747,505201 Drainage Department,2201221 Postage/Courier expenses,5000
748,505201 Drainage Department,2202101 Printing expenses,200000
749,505201 Drainage Department,2203005 Travelling and Conveyance - Staff,50000
750,505201 Drainage Department,2208023 Supporting Staff & Utilities for Office Work,5000000
751,505201 Drainage Department,2208051 Miscellaneous expenses,500000
752,505201 Drainage Department,2208511 Expenses on General Survey,5000000
753,505201 Drainage Department,2303009 Equipments for Health and Safety in Drainage Works,1500000
754,505201 Drainage Department,2305011 Underground Drains (Sewer Pipes Network),60000000
755,505201 Drainage Department,2305077 White Washing of Urinals,3000000
756,505201 Drainage Department,2305121 Public Toilets,5000000
757,505201 Drainage Department,2305130 Sewer Junction cum Jetting Machine Maintenance Expenses,5000000
758,505201 Drainage Department,2305190 Fee for renewal of License of Low Level Pump Station,5000
759,505201 Drainage Department,2305191 Maint.of Chambers,20700000
760,505201 Drainage Department,2305192 Maint. of Low Lavel Pumping Station,4500000
761,505201 Drainage Department,2305193 Const. of Storm Water Rain,6900000
762,505201 Drainage Department,2305194 Exp. on Covering of Main Holes,6900000
763,505201 Drainage Department,2305195 Exp. on Raising of Main Holes,6900000
764,505201 Drainage Department,2718093 Water Tax to M.P.S. Pollution Control,1000
765,505201 Drainage Department,2718094 Rent of Railway pipe line(w),200000
766,505201 Drainage Department,4102020 Const. Public Toilets,40000000
767,505201 Drainage Department,4102021 New Public Toilets in Slum Area,5000000
768,505201 Drainage Department,4102029 Toilet / complex construction expenditures (CM Urban Sanitation Mission),20000000
769,505201 Drainage Department,4103103 Sewer Pipes,350000000
770,505201 Drainage Department,4103104 Storm Water Gutters,40000000
771,505201 Drainage Department,4103106 New Sewer Line - Slum Areas,50000000
772,505201 Drainage Department,4103107 New Sewer Line - Jan Sahyog,50000000
773,505201 Drainage Department,4103109 expenditure for purchasing mobile toilets,10000000
774,505201 Drainage Department,4103117 Expenditure on the overall development plan of the city'' Drainage,400000000
775,505201 Drainage Department,4103119 Secondary Sewerage Network D.S.C.F.V.M.C. Work,20000000
776,505201 Drainage Department,4104008 Manhole Mud Remover Machine,4000000
